OMIM_gene,OMIM_disease_ch,OMIM_id
ACO2,视神经萎缩9;小儿小脑-视网膜 变性,100850
ACOX1,过氧化物酶酰基辅酶A氧化酶缺乏症 ,609751
ACP,脑瘫，共济失调，常染色体隐性遗传,605388
ACP2,溶酶体酸性磷酸酶缺乏症 ,171650
ACP33,肥大综合征 ,608181
ACP5,Spondyloenchondrodysplasia伴随免疫失调 ,171640
ACR,Acropectoral综合征,102480
ACRPS,Acropectoral综合征,605967
ACRPV,Acropectorovertebral发育不良,102510
ACSF3,联合性丙二酸甲基丙二酸尿症 ,614245
ACSL4,智力低下，X连锁63,300157
ACSL6,骨髓增生异常综合征 ;骨髓性白血病，急性,604443
ACSM3,高血压，必需 ,145505
ACTA1,肩胛腓骨肌病;肌病，肌动蛋白，先天性，有核;肌病，肌动蛋白，先天性，细肌丝过剩;先天性肌病，伴随纤维类型比例失调1型;杆状体肌病3，常染色体显性或隐性遗传,102610
ACTA2,主动脉瘤，家族性胸主动脉瘤6;脑基底异常血管网络病疾病5;多系统平滑肌功能障碍综合征,102620
ACTB,肌张力失常，青少年发病;Baraitser-Winter综合征1,102630
ACTC1,"心房中隔缺乏症5;扩张性心肌病1R;肥厚性心肌病,11;左心室心肌致密化不全4",102540
ACTG1,Baraitser-Winter综合征2;耳聋，常染色体显性遗传20/26,102560
ACTG2,内脏肌病,102545
ACTN1,血小板型异常型出血性病15型,102575
ACTN2,扩张性心肌病1AA，伴或不伴LVNC（左心室致密化不全） ;肥厚性心肌病，23，伴或不伴LVNC（左心室致密化不全） ,102573
ACTN3,α-辅肌动蛋白-3缺乏症;短距离冲刺性能？？？,102574
ACTN4,局灶节段性肾小球硬化症1型,604638
ACVR1,纤维发育不良进行性骨化性肌炎,102576
ACVR1B,胰腺癌，体细胞,601300
ACVR2B,内脏异位，4,602730
ACVRL1,毛细血管扩张症，遗传性出血性，2型 ,601284
ACY1,氨基酰化酶1缺乏症,104620
AD10,阿尔兹海默病-10,609636
AD11,阿尔兹海默病-11,609790
AD12,老年痴呆症12 ,611073
AD13,老年痴呆症-13,611152
AD14,老年痴呆症-14,611154
AD15,老年痴呆症-15,611155
AD16,阿兹海默症16,300756
AD17,阿尔兹海默病17 ,615080
AD5,阿尔兹海默病-5,602096
AD6,阿尔兹海默病6,605526
AD7,阿尔兹海默病-7 ,606187
AD8,阿尔兹海默病8,607116
ADA,Weill Marchesani样综合征,608958
ADAM10,"老年痴呆症18,易感性;Kitamura网状肢端色素沉着",602192
ADAM17,炎症性皮肤和肠道疾病，新生儿，1 ,603639
ADAM9,视锥-视杆营养不良9,602713
ADAMTS10,Weill Marchesani综合征1、隐性,608990
ADAMTS13,血栓性血小板减少性紫癜，家族性,604134
ADAMTS17,Weill Marchesani样综合征,607511
ADAMTS18,小角膜、近视性脉络膜视网膜萎缩，和内眦距过宽,607512
ADAMTS2,Ehlers-Danlos综合征，VIIC型,604539
ADAMTSL2,Geleophysic发育不良1 ,612277
ADAMTSL4,晶状体及瞳孔异位 ;晶状体异位的，孤立的，常染色体隐性遗传 ,610113
ADAR,Aicardi-Goutieres综合征6;遗传对称性色素异常症,146920
ADAT3,智力低下，常染色体隐性遗传36,615302
ADCK3,原发性辅酶Q10缺乏症4型,606980
ADCK4,肾病综合征，9型,615567
ADCY1,耳聋，常染色体隐性遗传，44,103072
ADCY10,吸收性高钙尿症，易感性,605205
ADCY5,运动障碍，家族性，伴随面肌纤维抽搐 ,600293
ADCY6,致死性先天性挛缩综合征8,600294
ADD1,高血压，原发性，盐敏感性,102680
ADD3,脑瘫及痉挛性四肢瘫痪，3,601568
ADFN,白化病耳聋综合征 ,300700
ADGRE2,振动性荨麻疹,606100
ADGRV1,急性发热，家族性，4;Usher综合征，2C型;Usher综合征，2C型,602851
ADH1B,消化道癌，鳞状细胞，酒精相关，保护性;酒精依赖，保护性,103720
ADH1C,酒精依赖，保护性;帕金森病，易感,103730
ADHD1,注意缺乏症多动障碍,608903
ADHD2,注意缺乏症多动障碍,608904
ADHD3,注意缺乏症多动障碍,608905
ADHD4,注意缺乏症多动障碍,608906
ADHD5,注意缺乏症多动障碍，易感，5 ,612311
ADHD6,注意缺乏症多动障碍，易感，6,612312
ADIPOQ,脂连素缺乏症,605441
ADIPQTL2,脂肪细胞因子，血清浓度水平，QTL2,606770
ADIPQTL3,脂肪细胞因子，血清浓度水平，QTL3,606771
ADIPQTL4,脂肪细胞因子，血清浓度水平，QTL4,612629
ADIPQTL5,脂肪细胞因子，血清浓度水平，QTL5,613836
ADK,由于腺苷激酶缺乏症引起的高蛋氨酸血症,102750
ADNP,Helsmoortel-van der Aa综合征（常染色体显性智力低下28型）,611386
ADRA2B,癫痫、肌阵挛、家族性成人 ,104260
ADRA2C,充血性心力衰竭和β受体阻滞剂反应，修饰性,104250
ADRB1,静息心率;充血性心力衰竭和β受体阻滞剂反应，修饰性,109630
ADRB2,哮喘，夜间，易感;肥胖，易感;β-2-肾上腺素受体激动剂，减少应答,109690
ADRB3,肥胖，易感,109691
ADSL,腺苷基琥珀酸酶缺乏症 ,608222
AF10,白血病，急性髓系白血病,602409
AFA1,脱发、雄激素，1,109200
AFF2,智力低下，X连锁，FRAXE型,300806
AFF4,CHOPS综合征,604417
AFG3L2,痉挛性共济失调5型，常染色体隐性遗传;脊髓小脑性共济失调28,604581
AFP,遗传持久性甲胎蛋白;甲胎蛋白缺乏症,104150
AGA,天冬氨酰葡萄糖胺尿症,613228
AGA2,脱发，雄核生殖 ,300710
AGA3,脱发、雄激素，3 ,612421
AGBL1,角膜营养不良，Fuchs内皮，8,615496
AGK,白内障38，常染色体隐性遗传;Sengers综合征,610345
AGL,糖原累积症IIIa ;糖原累积症IIIb,610860
AGMX2,无丙种球蛋白血症，X连锁1,300310
AGPAT2,先天性全身脂肪营养不良1型,603100
AGPS,肢根点状软骨发育不良，3型,603051
AGRN,肌无力综合征，先天性，8，突触前和突触后的缺乏症,103320
AGRP,消瘦，遗传性;肥胖，迟发型,602311
AGSPX,匐行性血管 ,300652
AGT,高血压，原发性，易感 ;子痫前期，易感 ;肾小管发育不全,106150
AGTR1,高血压，原发性;肾小管发育不全,106165
AGXT,原发性高草酸尿症，1型,604285
AHCY,高蛋氨酸血症伴随S-腺苷高半胱氨酸水解酶缺乏症,180960
AHDC1,Xia-Gibbs综合征,615790
AHI1,肢端胼胝体综合征-3（Joubert综合征-3）,608894
AI1E2,釉质发育不全，IE型，X连锁2,301201
AIC,Aicardi综合征,304050
AICDA,免疫缺陷症伴IgM增高2型 ,605257
AIFM1,联合氧化磷酸化缺陷6;cowchock综合征 ;耳聋，X连锁5,300169
AIMP1,低髓鞘化脑白质营养不良 ，3,603605
AIP,垂体腺瘤，促肾上腺皮质激素分泌 ;垂体腺瘤，生长激素分泌（家族性孤立型垂体腺瘤）;垂体腺瘤，催乳素分泌性 ,605555
AIPL1,视锥-视杆营养不良;Leber氏先天性黑蒙4;视网膜色素变性，青少年的,604392
AIR,急性胰岛素反应 ,601676
AIRE,自身免疫性多内分泌腺病综合征，I型，伴或不伴可逆干骺发育不良,607358
AIS2,自身免疫性疾病，易感，2,608391
AIS3,自身免疫性疾病，易感，3,608392
AIS4,自身免疫性疾病，易感，4,609400
AITD1,自身免疫性甲状腺疾病，易感性，1,608173
AITD2,自身免疫性甲状腺疾病，易感性，2,608174
AITD4,自身免疫性甲状腺疾病，易感性，4,608176
AK1,由于腺苷酸激酶缺乏症引起的溶血性贫血,103000
AK2,网状细胞发育不全,103020
AKAP10,心脏传导缺乏症，易感,604694
AKAP9,长QT综合征-11,604001
AKR1C2,46XY性反转8;肥胖，摄食过量和发育迟缓 ,600450
AKR1C4,46XY性反转8，调节,600451
AKR1D1,先天性胆汁酸合成障碍，2,604741
AKT1,精神分裂症，易感;乳腺癌，体细胞;结直肠癌，体细胞;Cowden综合征6;卵巢癌，体细胞;Proteus综合征，体细胞,164730
AKT2,糖尿病，II型;低胰岛素性低血糖伴偏侧肥大,164731
AKT3,巨脑-多小脑回-多趾-脑积水综合征2,611223
ALAD,铅中毒，易感;急性肝卟啉症,125270
ALAS2,铁粒幼细胞性贫血1型;原卟啉症，促红细胞生成，X连锁,301300
ALB,白蛋白异常高甲状腺素血症 ;低白蛋白血症 ,103600
ALDH18A1,常染色体显性遗传皮肤松弛症;常染色体隐性遗传皮肤松弛症IIIA型;痉挛性截瘫9A，常染色体显性遗传;痉挛性截瘫9B，常染色体隐性遗传,138250
ALDH1A3,单纯性小眼畸形8,600463
ALDH2,食管癌酒精易感;后遗症;舌下含服硝酸甘油、低反应的易感;乙醛脱氢酶2家族相关的急性酒精中毒易感,100650
ALDH3A2,Sjogren-Larsson综合征,609523
ALDH4A1,高脯氨酸血症II型,606811
ALDH5A1,琥珀酸半醛脱氢酶缺乏症,610045
ALDH6A1,甲基丙二酸半醛脱氢酶缺乏症 ,603178
ALDH7A1,吡哆醇依赖性癫痫,107323
ALDOA,糖原累积症XⅡ,103850
ALDOB,果糖不耐受,612724
ALG1,先天性糖基化障碍，Ik型,605907
ALG10,长QT综合征，后天，减少的易感性 ,603313
ALG11,先天性糖基化障碍，Ip型,613666
ALG12,先天性糖基化障碍，Ig型,607144
ALG13,早发幼儿癫痫性脑病，36,300776
ALG14,肌无力综合征，先天性，15，不伴管状聚集 ,612866
ALG2,先天性糖基化障碍，Ii型;肌无力综合征，先天性，14，伴随管性聚合,607905
ALG3,先天性糖基化障碍，Id型,608750
ALG6,先天性糖基化障碍，Ic型,604566
ALG8,先天性糖基化障碍，Ih型,608103
ALG9,先天性糖基化障碍，Il型;Gillessen-Kaesbach-Nishimura综合征 ,606941
ALK,神经母细胞瘤，易感,105590
ALL1,白血病，急性淋巴细胞性，易感性，1,613065
ALL2,白血病，急性淋巴细胞性，易感性，2,613067
ALMS1,Alstrom综合征：视网膜变性-糖尿病-耳聋综合征 ,606844
ALOX12B,鱼鳞病，先天性，常染色体隐性遗传2,603741
ALOX5,哮喘，减少抗白三烯治疗回应;动脉粥样硬化，易感,152390
ALOX5AP,脑卒中，易感,603700
ALOXE3,鱼鳞病，先天性，常染色体隐性遗传3,607206
ALPL,成人型低磷酸酯酶症;幼儿型低磷酸酯酶症;婴儿型低磷酸酯酶症;牙齿型低碱性磷酸酯酶症,171760
ALPQTL1,碱性磷酸酶、血浆水平、QTL1 ,171720
ALPQTL2,碱性磷酸酶、血浆水平、QTL 2 ,612367
ALPQTL3,碱性磷酸酶、血浆水平、QTL 3 ,612368
ALPQTL4,碱性磷酸酶、血浆水平、QTL 4 ,612369
ALS2,肌萎缩性侧索硬化症2型;原发性脊髓侧索硬化症，青少年;痉挛性瘫痪，婴儿发病上升,606352
ALS3,肌萎缩性侧索硬化症3型,606640
ALS7,肌萎缩性侧索硬化症7型,608031
ALX1,额鼻发育不良3,601527
ALX3,额鼻发育不良1 ,606014
ALX4,颅缝早闭5，易感性 ;额鼻发育不良2;顶骨孔2,605420
AMACR,α-甲基酰基辅酶A消旋酶缺乏症;先天性胆汁酸合成障碍，4,604489
AMBN,釉质发育不全，IF型,601259
AMCN,先天性多基因控制性关节挛缩，神经源性,208100
AMELX,釉质发育不全，1E型 ,300391
AMER1,骨病纹状伴随颅硬化,300647
AMH,持续性副中肾管综合征，I型,600957
AMHR2,持续性副中肾管综合征，II型,600956
AMMEC,Alport综合征（家族性出血性肾炎），智力低下，面中部发育不全，和椭圆形红细胞增多症 ,300194
AMN,有巨胚红血球的贫血症-1，挪威型,605799
AMPD1,由于心肌腺苷脱氨酶缺乏症引起的肌病（腺苷一磷酸脱氨酶缺乏症）,102770
AMPD2,常染色体隐性痉挛性截瘫63型;脑桥小脑发育不全9型,102771
AMPD3,腺苷一磷酸脱氨酶缺乏症，红细胞,102772
AMT,甘氨酸脑病 ,238310
ANBC,动脉瘤样骨囊肿 ,606179
ANC,肛管癌 ,105580
ANG,肌萎缩侧索硬化症 ,105850
ANGPTL3,β低脂蛋白血症，家族性，2,604774
ANGPTL4,血浆甘油三酯水平的QTL，低,605910
ANIB1,动脉瘤，颅内浆液，11 ,105800
ANIB10,动脉瘤，脑浆，10 ,612587
ANIB11,动脉瘤，颅内浆液，11 ,614252
ANIB2,动脉瘤，颅内浆液，2,608542
ANIB3,动脉瘤，颅内浆液，3,609122
ANIB4,动脉瘤，颅内浆液，4,610213
ANIB5,动脉瘤，颅内浆果，5 ,300870
ANIB6,动脉瘤，脑浆，6,611892
ANIB7,动脉瘤，颅内浆液，7,612161
ANIB8,动脉瘤，颅内浆液，8,612162
ANIB9,动脉瘤，脑浆，9,612586
ANIC,嗅觉缺失，先天性,107200
ANK1,球形红细胞（贫血）症，1型,612641
ANK2,心律失常，锚蛋白-B相关（ANK2相关心律不齐症）;长QT综合征4,106410
ANK3,精神运动性阻滞，常染色体隐性遗传37,600465
ANKH,软骨钙化2 ;颅骨干骺端发育不良,605145
ANKK1,多巴胺D2受体，减少脑组织密度 ,608774
ANKLE2,原发性常染色体隐性遗传头小畸型16型,616062
ANKRD11,KBG综合征,611192
ANKRD26,血小板减少2,610855
ANKS6,肾单位肾痨16,615370
ANLN,局灶节段性肾小球硬化症8,616027
ANMA,乳房大小不等 ,605746
ANO10,脊髓小脑性共济失调，常染色体隐性遗传10,613726
ANO3,张力失调24,610110
ANO5,颌骨干发育不良 ;Miyoshi肌营养不良3;肢带型肌营养不良，2L型,608662
ANO6,Scott综合征,608663
ANON1,神经性厌食症，易感性，1 ,606788
ANTXR1,血管瘤，毛细管的婴儿，易感性;GAPO综合征 ,606410
ANTXR2,玻璃质纤维瘤病综合征 ,608041
ANXA5,妊娠丢失，复发，易感，3,131230
AOCH,肢端肥大样的特征，过生长，裂腭，和疝,606049
AOMS1,腹型肥胖代谢综合征1,605552
AOMS2,腹型肥胖代谢综合征,605572
AP1S1,MEDNIK综合征,603531
AP1S2,X连锁综合征型智力低下5型,300629
AP1S3,脓疱型银屑病，易感,615781
AP2S1,高钙血症，家族，III型 ,602242
AP3B1,Hermansky-Pudlak综合征2,603401
AP4B1,痉挛性截瘫47，常染色体隐性遗传,607245
AP4E1,痉挛性截瘫51，常染色体隐性遗传;口吃，家族持续性，1,607244
AP4M1,痉挛性截瘫50，常染色体隐性遗传,602296
AP4S1,痉挛性截瘫52，常染色体隐性遗传,607243
AP5Z1,痉挛性截瘫48，常染色体隐性遗传,613653
APBB2,老年痴呆症，迟发性,602710
APC,腺瘤，壶腹周围的，体细胞;腺瘤性结肠息肉病 ;脑肿瘤性息肉综合征2;结直肠癌，体细胞;硬纤维瘤病、遗传性 ;加德纳综合征;胃癌，体细胞 ;肝母细胞瘤，体细胞,611731
APCDD1,稀毛症1 ,607479
APCS,类淀粉样变，继发性，易感,104770
APMR1,脱发心理阻滞综合征1 ,203650
APMR2,脱发心理阻滞综合征2 ,610422
APMR3,脱发心理阻滞综合征3,613930
APOA1,淀粉样病变，3或更多类型;ApoA-I和apoC-III的缺乏症，结合;角膜混浊，常染色体隐性遗传;α低脂蛋白血症,107680
APOA2,高胆固醇血症，家族性，修正型;载脂蛋白A-Ⅱ缺乏症,107670
APOA5,高甘油三酯血症，易感性 ;高乳糜微粒血症，迟发性,606368
APOB,高胆固醇血症，由于配体缺乏症Apo B;β低脂蛋白血症（家族性高胆固醇血症1型）,107730
APOC2,高脂蛋白血，Ib型,608083
APOC3,载脂蛋白C-III缺乏症,107720
APOE,黄斑变性，年龄相关 ;心肌梗死，易感;老年痴呆症2型;高脂蛋白血，Ⅲ型;脂蛋白肾病 ;海蓝组织细胞增生症,107741
APOL1,终末期肾脏病，非糖尿病的，易感性 ;肾小球硬化症，局灶节段性 ，4，易感性,603743
APOL2,精神分裂症,607252
APOL4,精神分裂症,607254
APOPT1,线粒体复合物IV缺乏症,616003
APP,老年痴呆症1，家族性;脑淀粉样血管病、荷兰、意大利、爱荷华、佛兰德、北极的变种,104760
APPL1,年轻人的成年型糖尿病，14型,604299
APRT,腺嘌呤磷酸核糖基转移酶缺乏症 ,102600
APTX,共济失调，早发，伴随眼球运动障碍和低蛋白血症 ,606350
AQP1,水通道蛋白-1缺乏症;血型，Colton（科尔顿 ）,107776
AQP2,肾性尿崩症,107777
AQP3,血型GIL ,600170
AQP5,掌跖角化病，Bothnian型,600442
AQP7,甘油数量性状位点 ,602974
AR,前列腺癌，易感性;雄激素不敏感综合征;部分雄激素不敏感，伴随或不伴随乳腺癌;X连锁尿道下裂1 ;肯尼迪脊髓延髓肌肉萎缩症（肯尼迪病）,313700
ARCI7,鱼鳞病，先天性，常染色体隐性遗传7,615022
ARFGEF2,脑室旁灰质异位伴随小头畸形,605371
ARG1,精氨酸血症,608313
ARHGAP26,青少年粒单核细胞白血病，体细胞,605370
ARHGAP31,Adams-Oliver综合征1,610911
ARHGDIA,肾病综合征，8型,601925
ARHGEF10,神经传导缓慢，AD,608136
ARHGEF6,智力低下，X连锁46,300267
ARHGEF9,早发幼儿癫痫性脑病，8,300429
ARHI1,年龄相关的听力障碍1 ,612448
ARHI2,年龄相关的听力障碍2,612976
ARID1A,Coffin-Siris综合征2（常染色体显性智力低下14型）,603024
ARID1B,Coffin-Siris综合征1,614556
ARL13B,肢端胼胝体综合征8（Joubert综合征8）,608922
ARL2BP,视网膜色素变性伴或不伴逆位  ,615407
ARL6,视网膜色素变性55;Bardet-Biedl综合征1，修饰性;Bardet-Biedl综合征3,608845
ARL6IP1,痉挛性截瘫61，常染色体隐性遗传 ,607669
ARMC4,原发性纤毛运动障碍，23,615408
ARMC5,ACTH非依赖性肾上腺大结节样增生2 ,615549
ARMD10,黄斑变性、年龄相关，10  ,611488
ARNT2,Webb-Dattani综合征,606036
ARSA,异染色体脑白质营养不良 ,607574
ARSB,黏多糖贮积症VI型(Maroteaux-Lamy),611542
ARSE,X连锁隐性点状软骨发育不良,300180
ART4,血型， Dombrock ,110600
ARVD3,致心律失常性右室发育异常3 ,602086
ARVD4,致心律失常性右室发育异常4,602087
ARVD6,致心律失常性右室发育异常6,604401
ARX,早发幼儿癫痫性脑病，1;水脑畸形伴随生殖器异常;无脑回畸形，X连锁2 ;智力低下，X连锁29及其他;Partington综合征;Proud综合征,300382
ASAH1,Farbe脂肪肉芽肿病 ;脊髓性肌萎缩伴随进行性肌阵挛性癫痫 ,613468
ASB10,青光眼1，开角，F,615054
ASCC1,先天性骨骨折合并脊髓性肌萎缩2;巴雷特食管/食管腺癌 ,614215
ASCL1,先天性致死型中枢性肺换气不足综合征;Haddad综合征（先天性中枢性肺换气不足综合征）,100790
ASD1,心房中隔缺乏症1,108800
ASIP,皮肤/头发/眼睛色素沉着1，棕色/非棕色眼睛;皮肤/头发/眼睛色素沉着1，深色/浅色头发,600201
ASL,精氨基琥珀酸尿症,608310
ASNS,天冬酰胺合成酶缺乏症,108370
ASPA,Canavan病([脑]海绵变性) ,608034
ASPG1,Asperger综合征（幼儿孤独症）易感性1,608638
ASPG2,Asperger综合征（幼儿孤独症）易感性2,608631
ASPG3,Asperger综合征（幼儿孤独症）易感性3,608781
ASPG4,Asperger综合征（幼儿孤独症）易感性4,609954
ASPH,Traboulsi综合征,600582
ASPM,小头畸形5，原发性，常染色体隐性遗传,605481
ASPN,腰椎间盘退变 ;骨性关节炎易感性3,608135
ASPSCR1,腺泡状软组织肉瘤 ,606236
ASRT3,哮喘易感，3 ,609958
ASRT4,哮喘易感，4,610906
ASRT6,哮喘易感，6,611403
ASRT8,哮喘易感，8,613207
ASS1,瓜氨酸血症 ,603470
ASXL1,Bohring-Opitz综合征;骨髓增生异常综合征，体细胞,612990
ASXL3,斑布里奇结绳综合征,615115
ATCAY,共济失调，小脑，Cayman型,608179
ATF6,全色盲7,605537
ATFB1,房性纤颤，家族性，1,608583
ATFB2,房性纤颤，家族性，2,608988
ATFB5,房颤，家族性，5,611494
ATFB8,房性纤颤，家族性，8,613055
ATG16L1,炎症性肠道疾病10 ,610767
ATHS,动脉粥样硬化，易感,108725
ATIC,AICA-ribosiduria由于ATIC缺乏症,601731
ATL1,神经病变，遗传性感觉，ID型（遗传性感觉和自主神经病ID型）;痉挛性截瘫3A，常染色体显性遗传 ,606439
ATL3,神经病变，遗传性感觉，IF型（遗传性感觉和自主神经病IF型）,609369
ATM,乳腺癌，易感性;共济失调-毛细血管扩张症 ;淋巴瘤，B细胞非霍奇金，体细胞 ;淋巴瘤，覆盖细胞，体细胞;T细胞前淋巴细胞白血病，体细胞,607585
ATN1,齿状核红核苍白球丘脑下部核萎缩,607462
ATOD1,皮炎，特应性，易感性，1 ,603165
ATOD3,皮炎，特应性，易感性，3,605804
ATOD4,皮炎，特应性，易感性，4,605805
ATOD5,皮炎，特应性，易感性，5,605844
ATOD6,皮炎，特应性，易感性，6,605845
ATOD7,皮炎，特应性，易感性，7,613064
ATOD8,皮炎，特应性，易感性，8,613518
ATOD9,皮炎，特应性，易感性，9,613519
ATOH7,持续性增生性原发性玻璃体，常染色体隐性遗传 ,609875
ATP13A2,蜡样质脂褐质沉积病， 神经元，12;Kufor Rakeb综合征,610513
ATP1A2,儿童交替性偏瘫;偏头痛，家族性基部;家族性遗传偏瘫性偏头痛2型,182340
ATP1A3,儿童交替性偏瘫2;CAPOS综合征（小脑共济失调、无反射、高弓足、视神经萎缩及感音神经性耳聋）;张力失调-12（速发型张力障碍-帕金森综合征）,182350
ATP1B1,血压调节QTL（数量性状遗传位点？？？）,182330
ATP2A1,Brody肌病,108730
ATP2A2,疣状肢端角化症;毛囊角化病 ,108740
ATP2B2,耳聋，常染色体隐性遗传12，修饰型,108733
ATP2B3,脊髓小脑性共济失调，X连锁1,300014
ATP2C1,Hailey Hailey病（良性慢性天疱疮）,604384
ATP5A1,联合氧化磷酸化缺乏症 ;线粒体复合物（ATP合酶）缺乏症，核型 ,164360
ATP5E,线粒体复合物V（ATP合酶）缺乏症，核型3,606153
ATP6AP1,免疫缺陷47,300197
ATP6AP2,X连锁综合征型智力低下Hedera型;帕金森伴痉挛，X连锁,300556
ATP6B1,远端肾小管性酸中毒进行性神经性耳聋,192132
ATP6B1B2,耳聋，先天的，伴随指甲营养不良，常染色体显性遗传;Zimmermann-Laband综合征2,606939
ATP6V0A2,皮肤松弛，常染色体隐性遗传，IIA型;皱皮综合征 ,611716
ATP6V0A4,常染色体隐性远端肾小管酸中毒,605239
ATP7A,Menkes病;枕骨角综合征;脊肌萎缩症，远端，X连锁3 ,300011
ATP7B,肝豆状核变性,606882
ATP8A2,小脑共济失调，精神运动性阻滞，和平衡失调综合征4,605870
ATP8B1,良性复发型肝内胆汁淤积;孕期肝内胆汁淤积1型;进行性家族性肝内胆汁淤积症1型,602397
ATPAF2,线粒体复合物V（ATP合酶）缺乏症，核型1,608918
ATPLS,抗磷脂综合征,107320
ATR,皮肤毛细血管扩张症和癌症综合征、家族性 ;Seckel综合征1,601215
ATRX,α地中海贫血骨髓增生异常综合征，体细胞;α地中海贫血-智力低下综合征;X连锁智力低下-低张力面容综合征,300032
ATXN1,脊髓小脑性共济失调1 ,601556
ATXN10,脊髓小脑性共济失调10 ,611150
