Disease ID	Disease	TYPE of Disease	GeneSymbol	Inheritance
D-0173	甲状旁腺功能减退伴感音神经性耳聋和肾发育不全	内分泌系统	GATA3	AD
D-0176	假性甲状旁腺功能减退症	内分泌系统	GNAS	AD
D-0178	睑裂狭小,内眦赘皮逆位和上睑下垂综合征	内分泌系统	FOXL2	AD
D-0179	Kallmann综合征	内分泌系统	FGFR1	AD
D-0179	Kallmann综合征	内分泌系统	FGF8	AD
D-0179	Kallmann综合征	内分泌系统	PROK2	AD
D-0181	脑裂畸形	内分泌系统	EMX2	AD
D-0185	Waardenburg综合征Ⅱ型	内分泌系统	SOX10	AD
D-0194	NKX2-1相关障碍	呼吸系统	NKX2-1	AD
D-0195	肺泡表面活性物质代谢障碍	呼吸系统	SFTPC	AD
D-0197	常染色体显性白内障Ⅰ型	皮肤系统	BFSP2	AD
D-0199	埃勒斯-当洛综合征	皮肤系统	COL1A2	AD
D-0201	大疱性表皮松解症	皮肤系统	KRT5	AD
D-0201	大疱性表皮松解症	皮肤系统	KRT14	AD
D-0202	Hailey-Hailey病	皮肤系统	ATP2C1	AD
D-0203	先天性厚甲症	皮肤系统	KRT6A	AD
D-0203	先天性厚甲症	皮肤系统	KRT16	AD
D-0203	先天性厚甲症	皮肤系统	KRT6B	AD
D-0203	先天性厚甲症	皮肤系统	KRT17	AD
D-0204	先天性角化不良综合症	皮肤系统	TERC	AD
D-0208	遗传性耳聋	五官及肿瘤	ACTG1	AD
D-0208	遗传性耳聋	五官及肿瘤	COCH	AD
D-0208	遗传性耳聋	五官及肿瘤	DFNA5	AD
D-0208	遗传性耳聋	五官及肿瘤	EYA4	AD
D-0208	遗传性耳聋	五官及肿瘤	KCNQ4	AD
D-0208	遗传性耳聋	五官及肿瘤	MYO1A	AD
D-0208	遗传性耳聋	五官及肿瘤	MYO6	AD
D-0208	遗传性耳聋	五官及肿瘤	MYH14	AD
D-0210	Gillespie综合征	五官及肿瘤	PAX6	AD
D-0213	常染色体显性白内障Ⅰ型	五官及肿瘤	BFSP2	AD
D-0216	牙龈纤维瘤病Ⅰ型	五官及肿瘤	SOS1	AD
D-0217	胰腺癌	五官及肿瘤	STK11	AD
D-0217	胰腺癌	五官及肿瘤	TP53	AD
D-0218	结节性硬化症	五官及肿瘤	TSC1	AD
D-0218	结节性硬化症	五官及肿瘤	TSC2	AD
D-0219	VonHippel-Lindau综合征	五官及肿瘤	VHL	AD
D-0222	剥脱性骨软骨炎/脊椎骨骺发育不良	骨骼系统	ACAN	AD
D-0224	进行性骨化性肌炎	骨骼系统	ACVR1	AD
D-0232	成骨不全症	骨骼系统	COL1A1	AD
D-0232	成骨不全症	骨骼系统	COL1A2	AD
D-0268	多发性骨性关节粘连综合征	骨骼系统	FGF9	AD
D-0269	Jackson-Weiss综合征	骨骼系统	FGFR1	AD
D-0269	Jackson-Weiss综合征	骨骼系统	FGFR2	AD
D-0289	埃勒斯-当洛斯综合征	骨骼系统	COL1A1	AD
D-0289	埃勒斯-当洛斯综合征	骨骼系统	COL1A2	AD
D-0295	先天性厚甲2型	骨骼系统	KRT17	AD
D-0311	Feingold综合征1型	骨骼系统	MYCN	AD
D-0312	良性遗传性舞蹈病	骨骼系统	NKX2-1	AD
D-0314	豪伊杜-切尼综合征	骨骼系统	NOTCH2	AD
D-0324	先天性马蹄内翻足	骨骼系统	PITX1	AD
D-0340	低钾性周期性麻痹	骨骼系统	SCN4A	AD
D-0344	Leri-Weill软骨骨生成障碍	骨骼系统	SHOX	AD
D-0352	屈肢骨发育不良	骨骼系统	SOX9	AD
D-0371	Mowat-Wilson综合征	骨骼系统	ZEB2	AD
D-0376	腕管综合征	神经系统	TTR	AD
D-0377	Hecht综合征	神经系统	MYH8	AD
D-0380	Brugada综合征	神经系统	KCNE3	AD
D-0380	Brugada综合征	神经系统	SCN1B	AD
D-0380	Brugada综合征	神经系统	SCN5A	AD
D-0388	致命性家族性失眠症	神经系统	PRNP	AD
D-0391	Diamond-Blackfan贫血	神经系统	RPS19	AD
D-0393	线粒体和过氧化物酶体缺陷导致的致命性脑病	神经系统	DNM1L	AD
D-0396	发作性共济失调	神经系统	CACNA1A	AD
D-0396	发作性共济失调	神经系统	CACNB4	AD
D-0396	发作性共济失调	神经系统	KCNA1	AD
D-0398	进行性骨化性肌炎	神经系统	ACVR1	AD
D-0405	包涵体肌病Ⅲ型	神经系统	MYH2	AD
D-0409	致死性先天性挛缩综合征	神经系统	DNM2	AD
D-0416	强直性肌营养不良1型	神经系统	DMPK	AD
D-0439	先天性垂直距骨	神经系统	HOXD10	AD
D-0440	心脏糖原累积病	神经系统	PRKAG2	AD
D-0442	甲亢性周期性瘫痪	神经系统	CACNA1S	AD
D-0442	甲亢性周期性瘫痪	神经系统	SCN4A	AD
D-0444	远端型遗传性运动神经病	神经系统	DCTN1	AD
D-0444	远端型遗传性运动神经病	神经系统	GARS	AD
D-0444	远端型遗传性运动神经病	神经系统	HSPB3	AD
D-0444	远端型遗传性运动神经病	神经系统	HSPB8	AD
D-0444	远端型遗传性运动神经病	神经系统	REEP1	AD
D-0447	远端关节痉挛	神经系统	MYH3	AD
D-0447	远端关节痉挛	神经系统	TNNI2	AD
D-0447	远端关节痉挛	神经系统	TNNT3	AD
D-0447	远端关节痉挛	神经系统	TPM2	AD
D-0453	智力障碍	神经系统	MEF2C	AD
D-0454	脂肪代谢障碍	神经系统	LMNB2	AD
D-0455	Bethlem肌病	神经系统	COL6A1	AD
D-0455	Bethlem肌病	神经系统	COL6A2	AD
D-0455	Bethlem肌病	神经系统	COL6A3	AD
D-0456	脊髓性肌萎缩	神经系统	GARS	AD
D-0457	家族性肥厚型心肌病	神经系统	MYBPC3	AD
D-0457	家族性肥厚型心肌病	神经系统	MYH7	AD
D-0457	家族性肥厚型心肌病	神经系统	TTN	AD
D-0458	Emery-Dreifuss肌营养不良	神经系统	SYNE2	AD
D-0458	Emery-Dreifuss肌营养不良	神经系统	TMEM43	AD
D-0459	肌张力障碍	神经系统	SGCE	AD
D-0459	肌张力障碍	神经系统	SLC2A1	AD
D-0459	肌张力障碍	神经系统	THAP1	AD
D-0459	肌张力障碍	神经系统	THAP1	AD
D-0460	神经纤维瘤	神经系统	NF1	AD
D-0460	神经纤维瘤	神经系统	NF2	AD
D-0461	无脑回畸形	神经系统	PAFAH1B1	AD
D-0461	无脑回畸形	神经系统	TUBA1A	AD
D-0462	垂体激素缺乏	神经系统	LHX4	AD
D-0463	线状体肌病	神经系统	ACTA1	AD
D-0463	线状体肌病	神经系统	KBTBD13	AD
D-0463	线状体肌病	神经系统	TPM2	AD
D-0466	亨廷顿病	神经系统	HTT	AD
D-0468	痉挛性截瘫	神经系统	NIPA1	AD
D-0468	痉挛性截瘫	神经系统	NIPA1	AD
D-0468	痉挛性截瘫	神经系统	REEP1	AD
D-0468	痉挛性截瘫	神经系统	SPAST	AD
D-0469	神经病	神经系统	DCTN1	AD
D-0469	神经病	神经系统	HSPB3	AD
D-0469	神经病	神经系统	HSPB8	AD
D-0469	神经病	神经系统	SPTLC2	AD
D-0470	帕金森症	神经系统	SNCA	AD
D-0471	癫痫相关基因	神经系统	CACNA1A	AD
D-0471	癫痫相关基因	神经系统	CACNB4	AD
D-0471	癫痫相关基因	神经系统	CHRNA2	AD
D-0471	癫痫相关基因	神经系统	CHRNA4	AD
D-0471	癫痫相关基因	神经系统	CHRNB2	AD
D-0471	癫痫相关基因	神经系统	EMX2	AD
D-0471	癫痫相关基因	神经系统	GABRG2	AD
D-0471	癫痫相关基因	神经系统	KCNA1	AD
D-0471	癫痫相关基因	神经系统	KCNQ2	AD
D-0471	癫痫相关基因	神经系统	KCNQ3	AD
D-0471	癫痫相关基因	神经系统	LGI1	AD
D-0471	癫痫相关基因	神经系统	MBD5	AD
D-0471	癫痫相关基因	神经系统	MEF2C	AD
D-0471	癫痫相关基因	神经系统	PAFAH1B1	AD
D-0471	癫痫相关基因	神经系统	PTCH1	AD
D-0471	癫痫相关基因	神经系统	SCN1B	AD
D-0471	癫痫相关基因	神经系统	SHH	AD
D-0471	癫痫相关基因	神经系统	SIX3	AD
D-0471	癫痫相关基因	神经系统	SLC2A1	AD
D-0471	癫痫相关基因	神经系统	SPTAN1	AD
D-0471	癫痫相关基因	神经系统	TCF4	AD
D-0471	癫痫相关基因	神经系统	TSC1	AD
D-0471	癫痫相关基因	神经系统	TSC2	AD
D-0471	癫痫相关基因	神经系统	UBE3A	AD
D-0471	癫痫相关基因	神经系统	VANGL1	AD
D-0472	脑白质营养不良	神经系统	GFAP	AD
D-0472	脑白质营养不良	神经系统	LMNB1	AD
D-0472	脑白质营养不良	神经系统	NOTCH3	AD
D-0472	脑白质营养不良	神经系统	PITX1	AD
D-0472	脑白质营养不良	神经系统	SOX10	AD
D-0476	Mowat-Wilson综合征	神经系统	ZEB2	AD
D-0477	前脑无裂畸形	神经系统	ZIC2	AD
D-0483	家族性偏瘫性偏头痛	神经系统	ATP1A2	AD
D-0483	家族性偏瘫性偏头痛	神经系统	CACNA1A	AD
D-0483	家族性偏瘫性偏头痛	神经系统	SCN1A	AD
D-0484	早期小儿癫痫性脑病	神经系统	SCN8A	AD
D-0484	早期小儿癫痫性脑病	神经系统	KCNQ2	AD
D-0484	早期小儿癫痫性脑病	神经系统	SCN1A	AD
D-0484	早期小儿癫痫性脑病	神经系统	SPTAN1	AD
D-0484	早期小儿癫痫性脑病	神经系统	STXBP1	AD
D-0485	强迫症	神经系统	HTT	AD
D-0487	Angelman综合征	神经系统	UBE3A	AD
D-0488	脊髓小脑共济失调	神经系统	ATN1	AD
D-0488	脊髓小脑共济失调	神经系统	ATXN1	AD
D-0488	脊髓小脑共济失调	神经系统	ATXN2	AD
D-0488	脊髓小脑共济失调	神经系统	ATXN3	AD
D-0488	脊髓小脑共济失调	神经系统	ATXN7	AD
D-0488	脊髓小脑共济失调	神经系统	ATXN8OS	AD
D-0488	脊髓小脑共济失调	神经系统	PPP2R2B	AD
D-0488	脊髓小脑共济失调	神经系统	TBP	AD
D-0489	结节性硬化症	神经系统	TSC1	AD
D-0489	结节性硬化症	神经系统	TSC2	AD
D-0491	腓骨肌萎缩症	神经系统	AARS	AD
D-0491	腓骨肌萎缩症	神经系统	CHD7	AD
D-0491	腓骨肌萎缩症	神经系统	GARS	AD
D-0491	腓骨肌萎缩症	神经系统	INF2	AD
D-0491	腓骨肌萎缩症	神经系统	KIF1B	AD
D-0491	腓骨肌萎缩症	神经系统	LITAF	AD
D-0491	腓骨肌萎缩症	神经系统	NEFL	AD
D-0491	腓骨肌萎缩症	神经系统	TRPV4	AD
D-0491	腓骨肌萎缩症	神经系统	YARS	AD
D-0492	肌病	神经系统	BAG3	AD
D-0492	肌病	神经系统	CRYAB	AD
D-0492	肌病	神经系统	FLNC	AD
D-0492	肌病	神经系统	LDB3	AD
D-0492	肌病	神经系统	MATR3	AD
D-0492	肌病	神经系统	MYF6	AD
D-0493	肌萎缩性侧索硬化症	神经系统	SOD1	AD
D-0493	肌萎缩性侧索硬化症	神经系统	TARDBP	AD
D-0493	肌萎缩性侧索硬化症	神经系统	TARDBP	AD
D-0493	肌萎缩性侧索硬化症	神经系统	VAPB	AD
D-0493	肌萎缩性侧索硬化症	神经系统	VCP	AD
D-0494	Angelman综合征	神经系统	UBE3A	AD
ND-0002	ASD谱系障碍	儿保	SHANK3	AD
ND-0015	低促基因 尿道下裂基因 隐睾基因	内分泌	KISS1R	AD
ND-0015	低促基因 尿道下裂基因 隐睾基因	内分泌	FST	AD
ND-0015	低促基因 尿道下裂基因 隐睾基因	内分泌	TAC3	AD
ND-0015	低促基因 尿道下裂基因 隐睾基因	内分泌	TACR3	AD
ND-0018	低镁症，肾性,肾小管和间质和代谢病	肾脏风湿	FXYD2	AD
ND-0022	范可尼贫血，互补群O型,肾小管和间质和代谢病	肾脏风湿	RAD51C	AD
ND-0023	肥胖	儿保	MC4R	AD
ND-0026	副甲狀腺功能低下	内分泌	GCMB	AD
ND-0031	孤立型肾发育不良,结构异常和囊性肾病	肾脏风湿	PAX2	AD
ND-0032	汗孔，播散浅表光化性，1，175900（3）	皮肤	SART3	AD
ND-0037	假性甲状旁腺功能减退IB	肾脏风湿	STX16	AD
ND-0038	假性醛固酮减少症ⅠB型,内分泌相关	内分泌	STX16	AD
ND-0042	免疫功能下降-中性球減少症(neutropenia) 	免疫系统	CSF3R	AD
ND-0042	免疫功能下降-中性球減少症(neutropenia) 	免疫系统	GFI1	AD
ND-0043	脑白质营养不良	神经	BEST1	AD
ND-0045	帕金森症相关基因MLPA检测	神经	LRRK2	AD
ND-0046	膀胱输尿管返流,结构异常和囊性肾病	肾脏风湿	SOX17	AD
ND-0046	膀胱输尿管返流,结构异常和囊性肾病	肾脏风湿	ROBO2	AD
ND-0047	腮裂-眼-面综合征	肾脏风湿	TFAP2A	AD
ND-0050	肾淀粉样变性	肾脏风湿	LYZ	AD
ND-0051	肾发育不良,结构异常和囊性肾病	肾脏风湿	UPK3A	AD
ND-0052	肾结石，低磷血症肾结石/骨质疏松1型	肾脏风湿	SLC34A1	AD
ND-0052	肾结石，低磷血症肾结石/骨质疏松2型	肾脏风湿	SLC9A3R1	AD
ND-0056	肾小球纤维蛋白沉积症2,肾小管和间质和代谢病	肾脏风湿	FN1	AD
ND-0060	嗜铬细胞瘤	肾脏风湿	SDHB	AD
ND-0060	嗜铬细胞瘤	肾脏风湿	SDHD	AD
ND-0061	先天性高免疫球蛋白E症候群 ( Congenital Hyper?IgE?syndrome )	免疫系统	STAT3	AD
ND-0064	性早熟	内分泌	ESR1	AD
ND-0067	遗传性肾淀粉样变性	肾脏风湿	FGA	AD
ND-0070	智力相关-脑发育	儿保	DTNBP1	AD
ND-0070	智力相关-脑发育，单纯性先天缺牙	儿保	MSX1	AD
ND-0071	智力相关-神经递质	儿保	DRD2	AD
ND-0072	自免疫疾病	免疫系统	PSTPIP1	AD
ND-0072	自免疫疾病	免疫系统	NLRP3	AD
ND-0072	自免疫疾病	免疫系统	TNFRSF1A	AD
D-0002	进行性家族性肝内胆汁淤积症	消化系统	ATP8B1	AR
D-0002	进行性家族性肝内胆汁淤积症	消化系统	ABCB11	AR
D-0003	先天性胆汁酸合成障碍	消化系统	HSD3B7	AR
D-0003	先天性胆汁酸合成障碍	消化系统	CYP7B1	AR
D-0003	先天性胆汁酸合成障碍	消化系统	AMACR	AR
D-0004	ARC综合征	消化系统	VPS33B	AR
D-0006	炎症性肠病	消化系统	IL10RA	AR
D-0007	17-羟化酶/17,20碳链裂解酶缺陷症	代谢及免疫系统	CYP17A1	AR
D-0008	2-甲基丁酰辅酶A脱氢酶缺乏症	代谢及免疫系统	ACADSB	AR
D-0010	高鸟胺酸血症-高氨血症-高瓜胺酸血症候群	代谢及免疫系统	SLC25A15	AR
D-0012	Usher综合征	代谢及免疫系统	CDH23	AR
D-0012	Usher综合征	代谢及免疫系统	PCDH15	AR
D-0012	Usher综合征	代谢及免疫系统	USH1C	AR
D-0013	肝豆状核变性	代谢及免疫系统	ATP7B	AR
D-0014	乙酰辅酶A乙酰转移酶缺乏症	代谢及免疫系统	ACAT1	AR
D-0015	3-羟基-3-甲基戊二酰辅酶裂解酶缺乏症	代谢及免疫系统	HMGCL	AR
D-0016	氨甲酰磷酸合成酶I缺乏症	代谢及免疫系统	CPS1	AR
D-0017	眼皮肤白化病	代谢及免疫系统	OCA2	AR
D-0017	眼皮肤白化病	代谢及免疫系统	SLC45A2	AR
D-0017	眼皮肤白化病	代谢及免疫系统	TYR	AR
D-0017	眼皮肤白化病	代谢及免疫系统	TYRP1	AR
D-0018	半乳糖血症	代谢及免疫系统	GALE	AR
D-0018	半乳糖血症	代谢及免疫系统	GALK1	AR
D-0018	半乳糖血症	代谢及免疫系统	GALT	AR
D-0019	Fanconi-Bickel综合征	代谢及免疫系统	SLC2A2	AR
D-0020	苯丙酮尿症	代谢及免疫系统	PAH	AR
D-0020	苯丙酮尿症	代谢及免疫系统	PTS	AR
D-0020	苯丙酮尿症	代谢及免疫系统	QDPR	AR
D-0021	丙二酰辅酶A脱羧酶	代谢及免疫系统	MLYCD	AR
D-0022	丙酸血症	代谢及免疫系统	PCCA	AR
D-0022	丙酸血症	代谢及免疫系统	PCCB	AR
D-0023	丙酮酸羧化酶缺乏症	代谢及免疫系统	PC	AR
D-0025	长链3-羟基辅酶A脱氢酶缺乏症	代谢及免疫系统	HADHA	AR
D-0026	复合硫酸酯酶缺乏症	代谢及免疫系统	SUMF1	AR
D-0028	芳香化酶缺乏症	代谢及免疫系统	CYP19A1	AR
D-0029	脯氨酸肽酶缺乏症	代谢及免疫系统	PEPD	AR
D-0030	高甲硫氨酸血症	代谢及免疫系统	AHCY	AR
D-0030	高甲硫氨酸血症	代谢及免疫系统	GNMT	AR
D-0031	高脯胺酸血症	代谢及免疫系统	ALDH4A1	AR
D-0032	高胱氨酸尿症	代谢及免疫系统	MTHFR	AR
D-0032	高胱氨酸尿症	代谢及免疫系统	MTRR	AR
D-0033	高赖氨酸血症	代谢及免疫系统	AASS	AR
D-0034	谷氨酸亚胺甲基转移酶缺乏症	代谢及免疫系统	FTCD	AR
D-0035	瓜氨酸血症	代谢及免疫系统	ASS1	AR
D-0035	瓜氨酸血症	代谢及免疫系统	SLC25A13	AR
D-0036	胱氨酸尿症	代谢及免疫系统	SLC3A1	AR
D-0037	γ-氨基丁酸转移酶缺乏症	代谢及免疫系统	ABAT	AR
D-0038	琥珀酸半醛脱氢酶缺乏症	代谢及免疫系统	ALDH5A1	AR
D-0039	甲基丙二酸半醛脱氢酶缺乏症	代谢及免疫系统	ALDH6A1	AR
D-0040	甲基丙二酸尿症/甲基丙二酸血症	代谢及免疫系统	MCEE	AR
D-0040	甲基丙二酸尿症/甲基丙二酸血症	代谢及免疫系统	MMAA	AR
D-0040	甲基丙二酸尿症/甲基丙二酸血症	代谢及免疫系统	MMAB	AR
D-0040	甲基丙二酸尿症/甲基丙二酸血症	代谢及免疫系统	MMACHC	AR
D-0040	甲基丙二酸尿症/甲基丙二酸血症	代谢及免疫系统	MUT	AR
D-0041	2-甲基丁酰辅酶A脱氢酶缺乏症	代谢及免疫系统	ACADSB	AR
D-0042	3-甲基戊烯二酸尿症	代谢及免疫系统	AUH	AR
D-0042	3-甲基戊烯二酸尿症	代谢及免疫系统	DNAJC19	AR
D-0043	甲羟戊酸尿症	代谢及免疫系统	MVK	AR
D-0045	Pendred综合征	代谢及免疫系统	SLC26A4	AR
D-0046	精氨基??琥珀酸尿症	代谢及免疫系统	ASL	AR
D-0047	精氨酸血症	代谢及免疫系统	ARG1	AR
D-0048	腺苷酸琥珀酸酶缺乏症	代谢及免疫系统	ADSL	AR
D-0049	酪氨酸血症	代谢及免疫系统	FAH	AR
D-0049	酪氨酸血症	代谢及免疫系统	HPD	AR
D-0049	酪氨酸血症	代谢及免疫系统	TAT	AR
D-0050	黏多糖贮积症	代谢及免疫系统	ARSB	AR
D-0050	黏多糖贮积症	代谢及免疫系统	GALNS	AR
D-0050	黏多糖贮积症	代谢及免疫系统	GLB1	AR
D-0050	黏多糖贮积症	代谢及免疫系统	GNS	AR
D-0050	黏多糖贮积症	代谢及免疫系统	HGSNAT	AR
D-0050	黏多糖贮积症	代谢及免疫系统	HYAL1	AR
D-0050	黏多糖贮积症	代谢及免疫系统	IDUA	AR
D-0050	黏多糖贮积症	代谢及免疫系统	NAGLU	AR
D-0050	黏多糖贮积症	代谢及免疫系统	SGSH	AR
D-0051	天冬氨酰葡萄糖胺尿症	代谢及免疫系统	AGA	AR
D-0052	粘多糖贮积症ⅢC	代谢及免疫系统	HGSNAT	AR
D-0054	β-甘露糖苷贮积症	代谢及免疫系统	MANBA	AR
D-0055	唾液酸贮积症	代谢及免疫系统	NEU1	AR
D-0056	戈谢病	代谢及免疫系统	GBA	AR
D-0057	糖原累积症0型	代谢及免疫系统	GYS1	AR
D-0058	糖原累积症Ia型	代谢及免疫系统	G6PC	AR
D-0059	糖原累积症Ib型	代谢及免疫系统	SLC37A4	AR
D-0060	糖原贮积症II型	代谢及免疫系统	GAA	AR
D-0062	糖原贮积症Ⅲa型	代谢及免疫系统	AGL	AR
D-0063	糖原贮积症IV型	代谢及免疫系统	GBE1	AR
D-0064	糖原贮积症V型	代谢及免疫系统	PYGM	AR
D-0065	糖原贮积症VI型	代谢及免疫系统	PYGL	AR
D-0066	糖原累积症Ⅶ型	代谢及免疫系统	PFKM	AR
D-0067	糖原贮积症Ⅸc型	代谢及免疫系统	PHKG2	AR
D-0069	糖原贮积症Ⅹ型	代谢及免疫系统	PGAM2	AR
D-0070	糖原贮积症Ⅺ型	代谢及免疫系统	LDHA	AR
D-0071	糖原贮积症Ⅻ型	代谢及免疫系统	ALDOA	AR
D-0072	糖原贮积症XIII型	代谢及免疫系统	ENO3	AR
D-0073	糖原贮积症XIV型	代谢及免疫系统	PGM1	AR
D-0076	扁平角膜Ⅱ型	代谢及免疫系统	KERA	AR
D-0078	卵磷脂胆固醇酰基转移酶缺乏症	代谢及免疫系统	LCAT	AR
D-0080	谷胱甘肽合成酶缺乏症	代谢及免疫系统	GSS	AR
D-0081	肉碱棕榈酰转移酶缺乏症	代谢及免疫系统	CPT1A	AR
D-0081	肉碱棕榈酰转移酶缺乏症	代谢及免疫系统	CPT2	AR
D-0082	线粒体三功能蛋白缺乏症	代谢及免疫系统	HADHB	AR
D-0084	3-甲基巴豆酰辅酶A羧化酶缺乏症	代谢及免疫系统	MCCC1	AR
D-0084	3-甲基巴豆酰辅酶A羧化酶缺乏症	代谢及免疫系统	MCCC2	AR
D-0085	羧化酶全酶合成酶缺乏症	代谢及免疫系统	HLCS	AR
D-0085	羧化酶全酶合成酶缺乏症	代谢及免疫系统	BTD	AR
D-0087	血色病	代谢及免疫系统	HFE	AR
D-0089	戊二酸尿症	代谢及免疫系统	ETFA	AR
D-0089	戊二酸尿症	代谢及免疫系统	ETFB	AR
D-0089	戊二酸尿症	代谢及免疫系统	ETFDH	AR
D-0089	戊二酸尿症	代谢及免疫系统	GCDH	AR
D-0090	脂酰辅酶A脱氢酶缺乏症	代谢及免疫系统	ACADM	AR
D-0090	脂酰辅酶A脱氢酶缺乏症	代谢及免疫系统	ACADS	AR
D-0090	脂酰辅酶A脱氢酶缺乏症	代谢及免疫系统	ACADVL	AR
D-0092	线粒体DNA缺失综合征	代谢及免疫系统	SUCLA2	AR
D-0092	线粒体DNA缺失综合征	代谢及免疫系统	SUCLG1	AR
D-0093	异丁酰辅酶A脱氢酶缺乏症	代谢及免疫系统	ACAD8	AR
D-0094	异戊酸血症	代谢及免疫系统	IVD	AR
D-0097	ZAP70相关性重症联合免疫缺陷病	代谢及免疫系统	ZAP70	AR
D-0099	因子V缺乏症	血液系统疾病	F5	AR
D-0101	珠蛋白生成障碍性贫血	血液系统疾病	HBB	AR
D-0102	丙酮酸激酶缺乏症	血液系统疾病	PKLR	AR
D-0105	杜宾-约翰逊综合征	血液系统疾病	ABCC2	AR
D-0106	范可尼贫血	血液系统疾病	FANCA	AR
D-0106	范可尼贫血	血液系统疾病	FANCC	AR
D-0106	范可尼贫血	血液系统疾病	FANCF	AR
D-0107	高铁血红蛋白血症IV	血液系统疾病	CYB5A	AR
D-0108	谷胱甘肽合成酶缺乏症	血液系统疾病	GSS	AR
D-0111	家族性噬血细胞性淋巴组织细胞增生症	血液系统疾病	PRF1	AR
D-0111	家族性噬血细胞性淋巴组织细胞增生症	血液系统疾病	STX11	AR
D-0111	家族性噬血细胞性淋巴组织细胞增生症	血液系统疾病	STXBP2	AR
D-0111	家族性噬血细胞性淋巴组织细胞增生症	血液系统疾病	UNC13D	AR
D-0112	克里格勒-纳贾尔综合征	血液系统疾病	UGT1A1	AR
D-0113	血栓性血小板减少性紫癜	血液系统疾病	ADAMTS13	AR
D-0117	因子XII缺乏	血液系统疾病	F12	AR
D-0120	Ghosal-综合征	心血管系统	TBXAS1	AR
D-0123	高脂蛋白血症	心血管系统	APOC2	AR
D-0125	原发性高草酸尿症	泌尿生殖系统	AGXT	AR
D-0125	原发性高草酸尿症	泌尿生殖系统	GRHPR	AR
D-0127	肾小管性酸中毒	泌尿生殖系统	ATP6V0A4	AR
D-0127	肾小管性酸中毒	泌尿生殖系统	CA2	AR
D-0127	肾小管性酸中毒	泌尿生殖系统	SLC4A4	AR
D-0128	Alport综合征	泌尿生殖系统	COL4A4	AR
D-0131	Bartter综合征	泌尿生殖系统	BSND	AR
