Gene/Locus,Gene/Locus_name,Gene/Locus_MIM_number,Phenotype,Phenotype_MIM_number,Inheritance,Comments,Gene
"GABRD, GEFSP5, EIG10, EJM7","Gamma-aminobutyric acid (GABA) A receptor, delta",137163,"{Epilepsy, generalized, with febrile seizures plus, type 5, susceptibility to}",613060,AD,-,GABRD
"GABRD, GEFSP5, EIG10, EJM7","Gamma-aminobutyric acid (GABA) A receptor, delta",137163,"{Epilepsy, idiopathic generalized, 10}",613060,AD,-,GABRD
"GABRD, GEFSP5, EIG10, EJM7","Gamma-aminobutyric acid (GABA) A receptor, delta",137163,"{Epilepsy, juvenile myoclonic, susceptibility to}",613060,AD,-,GABRD
"SKI, SGS",Avian sarcoma viral (v-ski) oncogene homolog,164780,Shprintzen-Goldberg syndrome,182212,AD,formerly mapped to 1q22-q24,SKI
"PEX10, NALD, PBD6A, PBD6B",Peroxisome biogenesis factor 10,602859,Peroxisome biogenesis disorder 6A (Zellweger),614870,AR,-,PEX10
"PEX10, NALD, PBD6A, PBD6B",Peroxisome biogenesis factor 10,602859,Peroxisome biogenesis disorder 6B,614871,AR,-,PEX10
"PRDM16, MEL1, LVNC8, CMD1LL",PR domain-containing protein 16,605557,"Cardiomyopathy, dilated, 1LL",615373,AD,-,PRDM16
"PRDM16, MEL1, LVNC8, CMD1LL",PR domain-containing protein 16,605557,Left ventricular noncompaction 8,615373,AD,-,PRDM16
"SMIM1, VEL",Small integral membrane protein 1,615242,"[Blood group, Vel system]",615264,AR,-,SMIM1
"CEP104, GLYBP, KIAA0562, JBTS25","Centrosomal protein, 104kD",616690,Joubert syndrome 25,616781,AR,-,CEP104
"NPHP4, SLSN4",Nephrocystin 4,607215,Nephronophthisis 4,606966,AR,-,NPHP4
"NPHP4, SLSN4",Nephrocystin 4,607215,Senior-Loken syndrome 4,606996,AR,-,NPHP4
ESPN,"Espin, mouse, homolog of",606351,"Deafness, autosomal recessive 36",609006,AR,-,ESPN
ESPN,"Espin, mouse, homolog of",606351,"Deafness, neurosensory, without vestibular involvement, autosomal dominant",-,-,-,ESPN
"PLEKHG5, KIAA0720, DSMA4, CMTRIC","Pleckstrin homology domain-containing protein, family G, member 5",611101,"Charcot-Marie-Tooth disease, recessive intermediate C",615376,AR,-,PLEKHG5
"PLEKHG5, KIAA0720, DSMA4, CMTRIC","Pleckstrin homology domain-containing protein, family G, member 5",611101,"Spinal muscular atrophy, distal, autosomal recessive, 4",611067,AR,-,PLEKHG5
"CAMTA1, KIAA0833, CANPMR",Calmodulin-binding transcription activator 1,611501,"Cerebellar ataxia, nonprogressive, with mental retardation",614756,AD,-,CAMTA1
SCZD12,Schizophrenia 12,608543,{Schizophrenia 12},181500,AD,max lod at D1S1612,SCZD12
"PER3, FASPS3","Period, Drosophila, homolog of, 3",603427,"?Advanced sleep phase syndrome, familial, 3",616882,AD,mutation identified in 1 FASPS3 family,PER3
"DJ1, PARK7",Oncogene DJ-1,602533,"Parkinson disease 7, autosomal recessive early-onset",606324,AR,-,DJ1
"SLC45A1, DNB5, IDDNPF","Solute carrier family 45, member 1",605763,Intellectual developmental disorder with neuropsychiatric features,617532,AR,-,SLC45A1
"RERE, NEDBEH",RE repeats-encoding gene,605226,"Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart",616975,AD,-,RERE
"H6PD, GDH, G6PDH, CORTRD1",Hexose-6-phosphate dehydrogenase,138090,Cortisone reductase deficiency 1,604931,AR,digenic triallelic mutations with HSD11B1,H6PD
"PIK3CD, APDS, IMD14","Phosphatidylinositol 3-kinase, catalytic, 110kD, delta",602839,Immunodeficiency 14,615513,AD,-,PIK3CD
"NMNAT1, NMNAT, PNAT1, LCA9",Nicotinamide nucleotide adenylyltransferase 1,608700,Leber congenital amaurosis 9,608553,AR,-,NMNAT1
"KIF1B, CMT2A, CMT2A1, NBLST1",Kinesin family member 1B,605995,"?Charcot-Marie-Tooth disease, type 2A1",118210,AD,mutation identified in 1 CMT2A1 family,KIF1B
"KIF1B, CMT2A, CMT2A1, NBLST1",Kinesin family member 1B,605995,Pheochromocytoma,171300,AD,-,KIF1B
"KIF1B, CMT2A, CMT2A1, NBLST1",Kinesin family member 1B,605995,"{Neuroblastoma, susceptibility to, 1}",256700,"AD,IC",-,KIF1B
"PEX14, PBD13A",Peroxisome biogenesis factor 14,601791,Peroxisome biogenesis disorder 13A (Zellweger),614887,AR,-,PEX14
"TARDBP, TDP43, ALS10",TAR DNA-binding protein,605078,"Amyotrophic lateral sclerosis 10, with or without FTD",612069,AD,"pseudogenes on 2, 6, 8, 13, 20",TARDBP
"TARDBP, TDP43, ALS10",TAR DNA-binding protein,605078,"Frontotemporal lobar degeneration, TARDBP-related",612069,AD,-,TARDBP
MASP2,Mannan-binding lectin serine protease 2,605102,MASP2 deficiency,613791,AR,-,MASP2
"MTOR, FRAP1, SKS",Mechanistic target of rapamycin,601231,"Focal cortical dysplasia, type II, somatic",607341,-,-,MTOR
"MTOR, FRAP1, SKS",Mechanistic target of rapamycin,601231,Smith-Kingsmore syndrome,616638,AD,-,MTOR
"UBIAD1, TERE1, SCCD",UbiA prenyltransferase domain-containing protein 1,611632,"Corneal dystrophy, Schnyder type",121800,AD,-,UBIAD1
"MAD2L2, MAD2B, FANCV","Mitotic arrest-deficient 2, S. cerevisiae, homolog-like 2",604094,"?Fanconi anemia, complementation group V",617243,AR,mutation identified in 1 FANCV patient; pseudogene on 14q21-q23,MAD2L2
MTHFR,Methylenetetrahydrofolate reductase,607093,Homocystinuria due to MTHFR deficiency,236250,AR,-,MTHFR
MTHFR,Methylenetetrahydrofolate reductase,607093,"{Neural tube defects, susceptibility to}",601634,AR,-,MTHFR
MTHFR,Methylenetetrahydrofolate reductase,607093,"{Schizophrenia, susceptibility to}",181500,AD,-,MTHFR
MTHFR,Methylenetetrahydrofolate reductase,607093,"{Thromboembolism, susceptibility to}",188050,AD,-,MTHFR
MTHFR,Methylenetetrahydrofolate reductase,607093,"{Vascular disease, susceptibility to}",-,-,-,MTHFR
"NPPA, PND, ANP, ATFB6, ATRST2",Natriuretic peptide precursor A,108780,"Atrial fibrillation, familial, 6",612201,AD,-,NPPA
"NPPA, PND, ANP, ATFB6, ATRST2",Natriuretic peptide precursor A,108780,Atrial standstill 2,615745,AR,-,NPPA
"PLOD1, LH1, LLH, EDSKCL1","Procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase)",153454,"Ehlers-Danlos syndrome, kyphoscoliotic type, 1",225400,AR,-,PLOD1
"MFN2, KIAA0214, CMT2A2A, HMSN6A, CMT2A2B",Mitofusin 2,608507,"Charcot-Marie-Tooth disease, axonal, type 2A2A",609260,AD,-,MFN2
"MFN2, KIAA0214, CMT2A2A, HMSN6A, CMT2A2B",Mitofusin 2,608507,"Charcot-Marie-Tooth disease, axonal, type 2A2B",617087,AR,-,MFN2
"MFN2, KIAA0214, CMT2A2A, HMSN6A, CMT2A2B",Mitofusin 2,608507,Hereditary motor and sensory neuropathy VIA,601152,AD,-,MFN2
"CTRC, CLCR",Chymotrypsin,601405,"{Pancreatitis, chronic, susceptibility to}",167800,AD,-,CTRC
CLCNKA,"Chloride channel, kidney, A",602024,"Bartter syndrome, type 4b, digenic",613090,DR,11kb from CLCNKB; simultaneous mutation in CLCNKA and CLCNKB,CLCNKA
CLCNKB,"Chloride channel, kidney, B",602023,"Bartter syndrome, type 3",607364,AR,unequal crossingover with CLCNKA,CLCNKB
CLCNKB,"Chloride channel, kidney, B",602023,"Bartter syndrome, type 4b, digenic",613090,DR,-,CLCNKB
"EPHA2, ECK, CTPP1, CTPA, ARCC2, CTRCT6",Ephrin receptor EphA2,176946,"Cataract 6, multiple types",116600,AD,-,EPHA2
"ATP13A2, PARK9, KRPPD, SPG78","ATPase, type 13A2",610513,Kufor-Rakeb syndrome,606693,AR,mutation identified in 1 family with CLN12,ATP13A2
"ATP13A2, PARK9, KRPPD, SPG78","ATPase, type 13A2",610513,"Spastic paraplegia 78, autosomal recessive",617225,AR,-,ATP13A2
"SDHB, SDH2, SDHIP, PGL4, CWS2","Succinate dehydrogenase complex, subunit B, iron sulfur (Ip)",185470,Cowden syndrome 2,612359,AD,1 of 2 polypeptides,SDHB
"SDHB, SDH2, SDHIP, PGL4, CWS2","Succinate dehydrogenase complex, subunit B, iron sulfur (Ip)",185470,Gastrointestinal stromal tumor,606764,"AD,IC",-,SDHB
"SDHB, SDH2, SDHIP, PGL4, CWS2","Succinate dehydrogenase complex, subunit B, iron sulfur (Ip)",185470,Paraganglioma and gastric stromal sarcoma,606864,-,-,SDHB
"SDHB, SDH2, SDHIP, PGL4, CWS2","Succinate dehydrogenase complex, subunit B, iron sulfur (Ip)",185470,Paragangliomas 4,115310,AD,-,SDHB
"SDHB, SDH2, SDHIP, PGL4, CWS2","Succinate dehydrogenase complex, subunit B, iron sulfur (Ip)",185470,Pheochromocytoma,171300,AD,-,SDHB
"PADI3, UHS1","Peptidylarginine deiminase, type III",606755,Uncombable hair syndrome,191480,AR,-,PADI3
"PADI4, PADI5, PAD","Peptidylarginine deiminase, type IV",605347,"{Rheumatoid arthritis, susceptibility to}",180300,-,-,PADI4
"PADI6, PREMBL2","Peptidylarginine deiminase, type VI",610363,Preimplantation embryonic lethality 2,617234,AR,-,PADI6
"PAX7, RMS2",Paired box homeotic gene-7,167410,"Rhabdomyosarcoma 2, alveolar",268220,AR,fused with FKHR in rhabdomyosarcoma,PAX7
"ALDH4A1, ALDH4, P5CDH","Aldehyde dehydrogenase 4 family, member A1 (delta-1-pyrroline 5-carboxylate dehydrogenase)",606811,"Hyperprolinemia, type II",239510,AR,-,ALDH4A1
"EMC1, KIAA0090, CAVIPMR","Endoplasmic reticulum membrane protein complex, subunit 1",616846,"Cerebellar atrophy, visual impairment, and psychomotor retardation",616875,AR,-,EMC1
"PLA2G2A, PLA2B, PLA2L, MOM1","Phospholipase A2, group IIA, platelets, synovial fluid",172411,{Colorectal cancer},114500,AD,-,PLA2G2A
"PLA2G5, FRFB","Phospholipase A2, group V",601192,"[Fleck retina, familial benign]",228980,AR,-,PLA2G5
"PINK1, PARK6",PTEN-induced putative kinase 1,608309,"Parkinson disease 6, early onset",605909,AR,-,PINK1
"DDOST, OST, OST48, CDG1R",Dolichyl-diphosphooligosaccharide-protein glycosyltransferase,602202,"?Congenital disorder of glycosylation, type Ir",614507,AR,mutation (cmpd het) identified in 1 CDG1R patient,DDOST
ECE1,Endothelin converting enzyme 1,600423,"?Hirschsprung disease, cardiac defects, and autonomic dysfunction",613870,AD,mutation identified in 1 HCAD patient,ECE1
ECE1,Endothelin converting enzyme 1,600423,"{Hypertension, essential, susceptibility to}",145500,Mu,-,ECE1
"ALPL, HOPS, TNSALP","Alkaline phosphatase, liver/bone/kidney",171760,"Hypophosphatasia, adult",146300,"AD,AR",-,ALPL
"ALPL, HOPS, TNSALP","Alkaline phosphatase, liver/bone/kidney",171760,"Hypophosphatasia, childhood",241510,AR,-,ALPL
"ALPL, HOPS, TNSALP","Alkaline phosphatase, liver/bone/kidney",171760,"Hypophosphatasia, infantile",241500,AR,-,ALPL
"ALPL, HOPS, TNSALP","Alkaline phosphatase, liver/bone/kidney",171760,Odontohypophosphatasia,146300,"AD,AR",-,ALPL
"HSPG2, PLC, SJS, SJA, SJS1",Heparan sulfate proteoglycan of basement membrane (perlecan),142461,"Dyssegmental dysplasia, Silverman-Handmaker type",224410,AR,-,HSPG2
"HSPG2, PLC, SJS, SJA, SJS1",Heparan sulfate proteoglycan of basement membrane (perlecan),142461,"Schwartz-Jampel syndrome, type 1",255800,AR,-,HSPG2
"CDC42, TKS","Cell division cycle 42 (GTP-binding protein, 25kD)",116952,Takenouchi-Kosaki syndrome,616737,-,-,CDC42
"WNT4, SERKAL","Wingless-type MMTV integration site family, member 4",603490,?SERKAL syndrome,611812,AR,mutation identified in 1 SERKAL family,WNT4
"WNT4, SERKAL","Wingless-type MMTV integration site family, member 4",603490,Mullerian aplasia and hyperandrogenism,158330,AD,-,WNT4
C1QA,"Complement component 1, q subcomponent, A chain",120550,C1q deficiency,613652,AR,-,C1QA
"C1QC, C1QG","Complement component 1, q subcomponent, C chain",120575,C1q deficiency,613652,AR,-,C1QC
C1QB,"Complement component 1, q subcomponent, B chain",120570,C1q deficiency,613652,AR,-,C1QB
"EPHB2, EPHT3, DRT, ERK, PCBC, CAPB",eph tyrosine kinase 3 (ephrin receptor EphB2),600997,"{Prostate cancer/brain cancer susceptibility, somatic}",603688,-,-,EPHB2
"KDM1A, LSD1, AOF2, BHC110, KIAA0601, CPRF",Lysine-specific demethylase 1A,609132,"Cleft palate, psychomotor retardation, and distinctive facial features",616728,AD,-,KDM1A
"RPL11, DBA7",Ribosomal protein L11,604175,Diamond-Blackfan anemia 7,612562,AD,-,RPL11
GALE,UDP galactose-4-epimerase,606953,Galactose epimerase deficiency,230350,AR,-,GALE
HMGCL,3-hydroxy-3-methylglutaryl-Coenzyme A lyase,613898,HMG-CoA lyase deficiency,246450,AR,-,HMGCL
FUCA1,"Fucosidase, alpha-L- 1, tissue",612280,Fucosidosis,230000,AR,8cM distal to RH; pseudogene on 2q31-q32,FUCA1
"GRHL3, SOM, TFCP2L4, VWS2",Grainyhead-like 3,608317,Van der Woude syndrome 2,606713,AD,-,GRHL3
RHCE,Rhesus system C and E polypeptides,111700,"Rh-null disease, amorph type",-,-,?order: C-E-D,RHCE
RHCE,Rhesus system C and E polypeptides,111700,"[Blood group, Rhesus]",111690,-,-,RHCE
"LDLRAP1, ARH, FHCB2, FHCB1",Low density lipoprotein receptor adaptor protein 1,605747,"Hypercholesterolemia, familial, autosomal recessive",603813,-,-,LDLRAP1
"SELENON, SEPN1, SELN, RSMD1, CFTD",Selenoprotein N,606210,"Muscular dystrophy, rigid spine, 1",602771,AR,-,SELENON
"SELENON, SEPN1, SELN, RSMD1, CFTD",Selenoprotein N,606210,"Myopathy, congenital, with fiber-type disproportion",255310,"AD,AR",-,SELENON
"SLC30A2, ZNT2, TNZD","Solute carrier family 30 (zinc transporter), member 2",609617,"Zinc deficiency, transient neonatal",608118,AD,-,SLC30A2
"DHDDS, HDS, RP59, DEDSM",Dehydrodolichyl diphosphate synthase,608172,"?Congenital disorder of glycosylation, type 1bb",613861,AR,mutation identified in 1 CDG1BB patient,DHDDS
"DHDDS, HDS, RP59, DEDSM",Dehydrodolichyl diphosphate synthase,608172,Developmental delay and seizures with or without movement abnormalities,617836,AD,-,DHDDS
"DHDDS, HDS, RP59, DEDSM",Dehydrodolichyl diphosphate synthase,608172,Retinitis pigmentosa 59,613861,AR,-,DHDDS
"ARID1A, C1orf4, B120, SMARCF1, MRD14, CSS2","AT rich interactive domain 1A, SWI-like",603024,Coffin-Siris syndrome 2,614607,AD,-,ARID1A
"PIGV, HPMRS1","Phosphatidylinositol glycan, class V",610274,Hyperphosphatasia with mental retardation syndrome 1,239300,AR,-,PIGV
"NR0B2, SHP","Nuclear receptor subfamily 0, group B, member 2",604630,"Obesity, mild, early-onset",601665,"AD,Mu,AR",-,NR0B2
"KDF1, C1orf172, ECTD12",Keratinocyte differentiation factor 1,616758,"?Ectodermal dysplasia 12, hypohidrotic/hair/tooth/nail type",617337,AD,mutation identified in 1 ECTD12 family,KDF1
"SLC9A1, NHE1, APNH, LIKNS","Solute carrier family 9 (sodium/hydrogen exchanger), member 1 (antiporter, Na+/H+, amiloride sensitive)",107310,?Lichtenstein-Knorr syndrome,616291,AR,mutation identified in 1 LIKNS family,SLC9A1
"FCN3, HAKA1",Ficolin 3,604973,Immunodeficiency due to ficolin 3 deficiency,613860,AR,-,FCN3
"AHDC1, MRD25",AT-hook DNA-binding motif-containing protein 1,615790,Xia-Gibbs syndrome,615829,AD,-,AHDC1
"EPB41, EL1",Erythrocyte surface protein band 4.1,130500,Elliptocytosis-1,611804,-,-,EPB41
"MECR, NRBF1, DYTOABG",Mitochondrial trans-2-enoyl-CoA reductase,608205,"Dystonia, childhood-onset, with optic atrophy and basal ganglia abnormalities",617282,AR,-,MECR
"SDC3, SYND3, SDCN",Syndecan 3,186357,"{Obesity, association with}",601665,"AD,Mu,AR",-,SDC3
"CCDC28B, MGC1203",Coiled-coil domain-containing protein 28B,610162,"{Bardet-Biedl syndrome 1, modifier of}",209900,"AR,DR",-,CCDC28B
"LCK, IMD22",Lymphocyte-specific protein tyrosine kinase,153390,?Immunodeficiency 22,615758,AR,LCK/TCRB fusion in leukemia; mutation identified in 1 IMD22 patient,LCK
"YARS, CMTDIC, TYRRS, YTS, YRS",Tyrosyl-tRNA synthetase,603623,"Charcot-Marie-Tooth disease, dominant intermediate C",608323,AD,-,YARS
"HPCA, DYT2","Hippocalcin, 23kD, Ca2+-binding protein",142622,"Dystonia 2, torsion, autosomal recessive",224500,AR,-,HPCA
AK2,"Adenylate kinase-2, mitochondrial",103020,Reticular dysgenesis,267500,AR,-,AK2
"GJB4, CX30.3, EKVP2","Gap junction protein, beta-4",605425,Erythrokeratodermia variabilis et progressiva 2,617524,AD,-,GJB4
"GJB3, CX31, DFNA2B, EKVP1","Gap junction protein, beta-3",603324,"Deafness, autosomal dominant 2B",612644,AD,same YAC as GJA4,GJB3
"GJB3, CX31, DFNA2B, EKVP1","Gap junction protein, beta-3",603324,"Deafness, autosomal dominant, with peripheral neuropathy",-,-,-,GJB3
"GJB3, CX31, DFNA2B, EKVP1","Gap junction protein, beta-3",603324,"Deafness, autosomal recessive",-,-,-,GJB3
"GJB3, CX31, DFNA2B, EKVP1","Gap junction protein, beta-3",603324,"Deafness, digenic, GJB2/GJB3",220290,"DD,AR",-,GJB3
"GJB3, CX31, DFNA2B, EKVP1","Gap junction protein, beta-3",603324,Erythrokeratodermia variabilis et progressiva 1,133200,"AD,AR",-,GJB3
"COL8A2, FECD1, PPCD2","Collagen VIII, alpha-2 polypeptide",120252,"Corneal dystrophy, Fuchs endothelial, 1",136800,AD,-,COL8A2
"COL8A2, FECD1, PPCD2","Collagen VIII, alpha-2 polypeptide",120252,"Corneal dystrophy, posterior polymorphous 2",609140,AD,-,COL8A2
"CSF3R, GCSFR, SCN7",Colony-stimulating factor-3 receptor (granulocyte),138971,"Neutropenia, severe congenital, 7, autosomal recessive",617014,AR,-,CSF3R
"SNIP1, PMRED",SMAD nuclear interacting protein 1,608241,"Psychomotor retardation, epilepsy, and craniofacial dysmorphism",614501,AR,-,SNIP1
"RSPO1, FLJ40906","Roof plate-specific spondin, mouse, homolog of, 1",609595,Palmoplantar hyperkeratosis and true hermaphroditism,610644,AR,-,RSPO1
"RSPO1, FLJ40906","Roof plate-specific spondin, mouse, homolog of, 1",609595,Palmoplantar hyperkeratosis with squamous cell carcinoma of skin and sex reversal,610644,AR,-,RSPO1
"TRIT1, IPT, COXPD35",tRNA isopentenyltransferase 1,617840,Combined oxidative phosphorylation deficiency 35,617873,AR,-,TRIT1
"MFSD2A, MCPH15",Major facilitator superfamily domain-containing protein 2A,614397,"Microcephaly 15, primary, autosomal recessive",616486,AR,-,MFSD2A
"PPT1, CLN1",Palmitoyl-protein thioesterase 1,600722,"Ceroid lipofuscinosis, neuronal, 1",256730,AR,-,PPT1
"ZMPSTE24, FACE1, STE24, MADB",Zinc metalloproteinase STE24,606480,Mandibuloacral dysplasia with type B lipodystrophy,608612,AR,-,ZMPSTE24
"ZMPSTE24, FACE1, STE24, MADB",Zinc metalloproteinase STE24,606480,"Restrictive dermopathy, lethal",275210,AR,-,ZMPSTE24
"COL9A2, EDM2, STL5","Collagen IX, alpha-2 polypeptide",120260,"?Stickler syndrome, type V",614284,AR,mutation identified in1 STL5 family,COL9A2
"COL9A2, EDM2, STL5","Collagen IX, alpha-2 polypeptide",120260,"Epiphyseal dysplasia, multiple, 2",600204,AD,-,COL9A2
"KCNQ4, DFNA2A","Potassium voltage-gated channel, KQT-like subfamily, member 4",603537,"Deafness, autosomal dominant 2A",600101,AD,-,KCNQ4
"CTPS1, CTPS, IMD24",Cytidine 5'-triphosphate synthetase 1,123860,Immunodeficiency 24,615897,AR,-,CTPS1
"CLDN19, HOMG5",Claudin 19,610036,"Hypomagnesemia 5, renal, with ocular involvement",248190,AR,-,CLDN19
"P3H1, LEPRE1, GROS1, OI8",Prolyl 3-hydroxylase 1,610339,"Osteogenesis imperfecta, type VIII",610915,AR,-,P3H1
"ERMAP, SC, RD",Erythroblast membrane-associated protein,609017,"[Blood group, Radin]",111620,-,-,ERMAP
"ERMAP, SC, RD",Erythroblast membrane-associated protein,609017,"[Blood group, Scianna system]",111750,-,-,ERMAP
"SLC2A1, GLUT1, HTLVR, DYT18, PED, GLUT1DS, EIG12, DYT9, SDCHCN","Solute carrier family 2 (facilitated glucose transporter), member 1",138140,Dystonia 9,601042,AD,probably in 1p33,SLC2A1
"SLC2A1, GLUT1, HTLVR, DYT18, PED, GLUT1DS, EIG12, DYT9, SDCHCN","Solute carrier family 2 (facilitated glucose transporter), member 1",138140,"GLUT1 deficiency syndrome 1, infantile onset, severe",606777,"AD,AR",-,SLC2A1
"SLC2A1, GLUT1, HTLVR, DYT18, PED, GLUT1DS, EIG12, DYT9, SDCHCN","Solute carrier family 2 (facilitated glucose transporter), member 1",138140,"GLUT1 deficiency syndrome 2, childhood onset",612126,AD,-,SLC2A1
"SLC2A1, GLUT1, HTLVR, DYT18, PED, GLUT1DS, EIG12, DYT9, SDCHCN","Solute carrier family 2 (facilitated glucose transporter), member 1",138140,Stomatin-deficient cryohydrocytosis with neurologic defects,608885,AD,-,SLC2A1
"SLC2A1, GLUT1, HTLVR, DYT18, PED, GLUT1DS, EIG12, DYT9, SDCHCN","Solute carrier family 2 (facilitated glucose transporter), member 1",138140,"{Epilepsy, idiopathic generalized, susceptibility to, 12}",614847,AD,-,SLC2A1
"MPL, TPOR, MPLV, THCYT2","Myeloproliferative leukemia virus, homolog of",159530,"Myelofibrosis with myeloid metaplasia, somatic",254450,-,-,MPL
"MPL, TPOR, MPLV, THCYT2","Myeloproliferative leukemia virus, homolog of",159530,Thrombocythemia 2,601977,"AD,SMu",-,MPL
"MPL, TPOR, MPLV, THCYT2","Myeloproliferative leukemia virus, homolog of",159530,"Thrombocytopenia, congenital amegakaryocytic",604498,AR,-,MPL
"SZT2, KIAA0467, EIEE18","Seizure threshold 2, mouse, homolog of",615463,"Epileptic encephalopathy, early infantile, 18",615476,AR,-,SZT2
"PTPRF, LAR, BNAH2","Protein tyrosine phosphatase, receptor type, f polypeptide",179590,"?Breasts and/or nipples, aplasia or hypoplasia of, 2",616001,AR,mutation identified in 1 BNAH2 family,PTPRF
"ST3GAL3, SIAT6, ST3GALII, MRT12, EIEE15","ST3 beta-galactoside alpha-2,3-sialyltransferase 3",606494,"?Epileptic encephalopathy, early infantile, 15",615006,AR,mutation identified in 1 EIEE15 family,ST3GAL3
"ST3GAL3, SIAT6, ST3GALII, MRT12, EIEE15","ST3 beta-galactoside alpha-2,3-sialyltransferase 3",606494,"Mental retardation, autosomal recessive 12",611090,AR,-,ST3GAL3
"SLC6A9, GLYT1, GCENSG","Solute carrier family 6 (neurotransmitter transporter, glycine), member 9",601019,Glycine encephalopathy with normal serum glycine,617301,AR,-,SLC6A9
PTCH2,"Patched, Drosophila, homolog of, 2",603673,"Basal cell carcinoma, somatic",605462,-,-,PTCH2
PTCH2,"Patched, Drosophila, homolog of, 2",603673,Basal cell nevus syndrome,109400,AD,-,PTCH2
PTCH2,"Patched, Drosophila, homolog of, 2",603673,"Medulloblastoma, somatic",155255,-,-,PTCH2
EIF2B3,"Eukaryotic translation initiation factor 2B, subunit 3",606273,Leukoencephalopathy with vanishing white matter,603896,AR,-,EIF2B3
UROD,Uroporphyrinogen decarboxylase,613521,Porphyria cutanea tarda,176100,"AD,AR",-,UROD
UROD,Uroporphyrinogen decarboxylase,613521,"Porphyria, hepatoerythropoietic",176100,"AD,AR",-,UROD
"MUTYH, MYH","MutY, E. coli, homolog of",604933,"Adenomas, multiple colorectal",608456,AR,-,MUTYH
"MUTYH, MYH","MutY, E. coli, homolog of",604933,"Colorectal adenomatous polyposis, autosomal recessive, with pilomatricomas",132600,SMu,-,MUTYH
"MUTYH, MYH","MutY, E. coli, homolog of",604933,"Gastric cancer, somatic",613659,-,-,MUTYH
"TOE1, PCH7",Target of EGR1,613931,"Pontocerebellar hypoplasia, type 7",614969,AR,-,TOE1
MMACHC,MMACHC gene,609831,"Methylmalonic aciduria and homocystinuria, cblC type",277400,AR,-,MMACHC
"PRDX1, PRXI, PAGA, NKEFA",Peroxiredoxin 1,176763,"Methylmalonic aciduria and homocystinuria, cblC type, digenic",277400,AR,pseudogene PAGB on 9p22,PRDX1
"POMGNT1, MEB, MDDGA3, MDDGB3, MDDGC3, RP76","Protein 0-mannose beta-1,2-N-acetylglucosaminyltransferase",606822,"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 3",253280,AR,-,POMGNT1
"POMGNT1, MEB, MDDGA3, MDDGB3, MDDGC3, RP76","Protein 0-mannose beta-1,2-N-acetylglucosaminyltransferase",606822,"Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type B, 3",613151,AR,-,POMGNT1
"POMGNT1, MEB, MDDGA3, MDDGB3, MDDGC3, RP76","Protein 0-mannose beta-1,2-N-acetylglucosaminyltransferase",606822,"Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 3",613157,AR,-,POMGNT1
"POMGNT1, MEB, MDDGA3, MDDGB3, MDDGC3, RP76","Protein 0-mannose beta-1,2-N-acetylglucosaminyltransferase",606822,Retinitis pigmentosa 76,617123,AR,-,POMGNT1
"RAD54L, HR54, HRAD54","RAD54, S. cerevisiae, homolog-like",603615,"Adenocarcinoma, colonic, somatic",-,-,-,RAD54L
"RAD54L, HR54, HRAD54","RAD54, S. cerevisiae, homolog-like",603615,"Lymphoma, non-Hodgkin, somatic",605027,-,-,RAD54L
