Disease_name,疾病名称（中文）,OMIM_id,Disease_name,OMIM英文名,OMIM中文名,Phenotype,遗传模式,incomplete penetrance,没有
Von Willebrand disease type 2,血管性血友病2型,613554,Von Willebrand disease type 2,,,"常染色体显性遗传,月经过多症,鼻衄,表现度差异,瘀斑易感性,常染色体隐形遗传","AD,AR",,
Glycogen storage disease due to acid maltase deficiency,由酸性麦芽糖酶缺乏症引发的糖原贮积病,232300,Glycogen storage disease due to acid maltase deficiency,,,癫痫发作，肌张力减退，步态不稳，心血管系统异常，肥厚性心肌病，心脏扩大，房室传导阻滞，代谢紊乱/稳态失衡，吞咽困难，呼吸困难，肺气肿，脑电图异常，语言障碍，肌肉无力导致的呼吸功能不全，血清肌酸磷酸激酶升高，广泛肌无力，肌电图异常，2型糖尿病，腹壁肌无力，心律失常，认知障碍，,AR,,
Von Willebrand disease type 2M,血管性血友病2M型,613554,Von Willebrand disease type 2M,,,"常染色体显性遗传,月经过多症,鼻衄,表现度差异,瘀斑易感性,常染色体隐形遗传","AD,AR",,
Glycogen storage disease due to glycogen debranching enzyme deficiency,由糖原脱支酶缺乏症引发的糖原贮积病,232400,Glycogen storage disease due to glycogen debranching enzyme deficiency,,,脸颊丰满，轻度智力残疾，低血糖，高甘油三酯血症，免疫缺陷，肌病，身材矮小,AR,,
Von Willebrand disease type 2B,血管性血友病2B型,613554,Von Willebrand disease type 2B,,,"常染色体显性遗传,月经过多症,鼻衄,表现度差异,瘀斑易感性,常染色体隐形遗传","AD,AR",,
Glycogen storage disease due to muscle glycogen phosphorylase deficiency,糖原磷酸化酶缺乏引起的糖原贮积病,232600,Glycogen storage disease due to muscle glycogen phosphorylase deficiency,,,肌病，血清肌酸磷酸激酶升高,AR,,
Von Willebrand disease type 2N,血管性血友病2N型,613554,Von Willebrand disease type 2N,,,"常染色体显性遗传,月经过多症,鼻衄,表现度差异,瘀斑易感性,常染色体隐形遗传","AD,AR",,
Glycogen storage disease due to glycogen branching enzyme deficiency,糖原分支酶缺乏引起的糖原贮积病,232500;263570,Glycogen storage disease due to glycogen branching enzyme deficiency,,,肌张力减退，肝功能下降，腹水，代谢紊乱/稳态失衡，肝炎，运动异常,AR,,
Von Willebrand disease type 3,血管性血友病3型,277480,Von Willebrand disease type 3,,,鼻衄，常染色体隐形遗传，血小板聚集障碍，月经过多症，关节出血，VIII凝血因子活性降低，出血时间延长，瘀斑易感性，血小板减少，外伤后持续性出血，血管性血友病因子活性降低,"AD,AR",,
Glycogen storage disease due to muscle phosphofructokinase deficiency,由肌肉磷酸果糖激酶缺乏引发的糖原贮积病,232800,Glycogen storage disease due to muscle phosphofructokinase deficiency,,,肌无力，贫血，高尿酸血症，肌强直，肌萎缩，肌肉糖原含量增加,AR,,
Stickler syndrome type 3,Stickler综合征3型,184840,Stickler syndrome type 3,,,舌后坠，腭裂，平颧骨，长人中，小下颌畸形，感音神经性耳聋，关节炎，关节疼痛,AD,,
Glycogen storage disease due to liver glycogen phosphorylase deficiency,糖原磷酸化酶缺乏引起的糖原贮积病,232700,Glycogen storage disease due to liver glycogen phosphorylase deficiency,,,低血糖，身材矮小,AR,,
Paroxysmal nocturnal hemoglobinuria,阵发性睡眠性血红蛋白尿症,300818;615399,Paroxysmal nocturnal hemoglobinuria,,,全血细胞减少，溶血性贫血，血栓栓塞症，骨髓细胞过少，高凝状态,AD,,
"Intellectual disability, Birk-Barel type",智力残疾，Birk-Borel型,612292,"Intellectual disability, Birk-Barel type",,,粗眉毛，宽眉，吞咽困难，常染色体显性遗传，婴儿期喂养困难，肌张力减退，高拱形眉毛，智力残疾，骶骨窝，高腭，人中短，软腭裂，额头狭窄，面部形状异常,AD,,
Isolated osteopoikilosis,骨斑点症,166700,Isolated osteopoikilosis,,,异位肾，小头畸形，皮下结节，骨骼发育不良，身材矮小，周身性骨硬化,AD,,
Krabbe disease,Krabbe病,245200;611722,Krabbe disease,,,感音神经性耳聋，视觉障碍，行为异常，易激惹，感觉神经病，拇指异常，癫痫发作，共济失调，痉挛状态，全面发育迟缓，步态不稳，代谢紊乱/稳态失衡，发热，全身性肌阵挛发作，反复呼吸道感染，三叶草状颅骨，肌电图异常，偏瘫/轻偏瘫，周围神经病，腹壁肌群发育不全/发育不良，喂养困难，听力障碍,AR,,
Dentinogenesis imperfecta type 2,牙本质发育不全2型,125490;605594,Dentinogenesis imperfecta type 2,,,牙本质发育不良，常染色体显性遗传，双侧感音神经性听觉障碍,AD,,
Dentinogenesis imperfecta type 3,牙本质发生不全3型,125500,,"Dentinogenesis Imperfecta, Shields Type III",牙本质发生不全3型,牙本质发育不良，常染色体显性遗传，壳状牙，牙根尖周射线可透,AD,,
Mucopolysaccharidosis type 6,粘多糖贮积症6型,253200,,Mucopolysaccharidosis type VI,粘多糖贮积症6型,厚下唇，鼻窦炎，面容粗糙，听力障碍，慢性化脓性中耳炎，短颈，肋骨变宽，干骺端异常，关节僵硬，未能茁壮成长，脾肿大，骨骺发育不良，复发性上呼吸道感染，驼背，膝外翻，卵形胸腰椎，不成比例的短躯干性矮小，角膜基质的混浊，粘多糖尿症，厚鼻翼，疝气,AR,,
Odontochondrodysplasia,软骨发育异常的牙齿,184260,Odontochondrodysplasia,,,牙齿萌出延迟，牙本质发育不良，胸窄，扁平椎骨，干骺端异常，脊柱侧弯，髋外翻，短肢，方形盆骨，短掌，身材矮小，关节过度屈曲，锥形骨骺,,,
Mucolipidosis type II,粘脂质贮积症2α或2β型,252500,,Mucolipidosis II Alpha&Beta,粘脂质贮积症2α或2β型,面容粗糙，内眦赘皮，长人中，鼻孔前翻，胸廓的异常，薄皮，未能茁壮成长，脾肿大，全身性多毛症，肝脏肿大，短长骨，身材矮小，鼻梁凹陷，粘多糖尿症，严重的全面性发育迟缓，神经系统形态异常，皮肤弹性缺乏，疝气，角膜糜烂,AR,,
Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia,缝间骨多发性骨折牙本质发育不全的骨骼发育不良,604922,Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia,,,长头畸形，眼距过宽，眶周丰满，牙本质发育不良，缝间骨，病理性骨折，异常的骨皮质形态异常，身材矮小，上肢发育不全，凹鼻嵴,,,
Sialidosis,唾液酸沉积症,256550,,Sialidosis,唾液酸沉积症(粘脂质贮积症1型),厚下唇，面容粗糙，感音神经性耳聋，宽鼻梁，视网膜病变，视觉障碍，进行性视力下降，眼球震颤，神经传导速度降低，鸡胸，多发性成骨不良，角化过度，智力残疾，癫痫发作，共济失调，肌张力减退，步态不稳，肌无力，肌阵挛，震颤，言语不清，脾肿大，前额突出，神经语言障碍，脑电图异常，脊柱侧弯，骨骼发育不良，骨骼成熟延迟，肌萎缩，椎体形态异常，氨基酸尿，尿液唾液酸肽增加，身材矮小，角膜混浊，短胸部，黄斑樱桃红点，皮肤血管异常，尿液唾液酸化寡聚糖的排泄，运动异常，疝气,AR,,
Mucolipidosis type 4,粘脂质贮积症4型,252650,,Mucolipidosis IV,粘脂质贮积症4型,斜视，视网膜病变，畏光，眼球震颤，行为异常，智力残疾，共济失调，肌张力减退，步态不稳，失语，反射亢进，脑电图异常，神经节苷脂代谢异常，发育停滞，角膜混浊，腹壁肌群发育不全/发育不良，粘多糖代谢异常,AR,,
Familial sick sinus syndrome,家族性病态窦房结综合征,163800;182190;608567;614090,Familial sick sinus syndrome,,,房颤，重度近视，常染色体显性遗传，常染色体隐形遗传，窦性心动过缓，室性逸搏心律，病窦综合征，先天发病，房室传导阻滞，QT间期延长,AD,,
Mucolipidosis type III,粘脂贮积症III型,252600;252605,Mucolipidosis type III,,,腹股沟疝，枕骨突出，面容粗糙，听力异常，视觉障碍，青春痘，关节僵硬，面部形状异常，心脏和大血管畸形，髋骨异常，脊柱前凹过度，椎体形态异常，身材矮小，颅面骨质增生，角膜混浊，大髂骨翼，下髂骨发育低下，认知障碍,AR,,
Photosensitive epilepsy,,132100;609572;609573,,,,"脑电图，光阵发性反应,常染色体显性遗传，异质性的,年龄相关性的基因外显",AD,,
Sandhoff disease,Sandhoff病,268800,Sandhoff disease,,,大头畸形，脸颊丰满，听力障碍，失明，癫痫发作，共济失调，肌无力，未能茁壮成长，脾肿大，反复呼吸道感染，肝脏肿大，运动发育迟缓，驼背，鞘糖脂代谢异常，进行性精神运动恶化，黄斑樱桃红点，运动异常,AR,,
Recessive X-linked ichthyosis,X连锁隐性遗传鱼鳞病,300001;308100,Recessive X-linked ichthyosis,,,干性皮肤，角化过度，少汗症，注意力缺陷多动障碍，角膜基质的混浊，鱼鳞病,XL,,
Mucopolysaccharidosis type 7,粘多糖贮积症7型,253220,,Mucopolysaccharidosis type VII,粘多糖贮积症7型,腹股沟疝，面容粗糙，淋巴水肿，智力残疾，肌张力减退，关节僵硬，脐疝，腹水，脾肿大，胎儿水肿，跖骨异常，胸膜异常，反复呼吸道感染，脊柱侧弯，髋骨异常，下部胸椎前缘鸟喙样凸出，骨干增粗，角膜混浊，粘多糖尿症，腰椎前缘鸟喙样凸出，骨骺点状钙化，肝炎，脸部扁平,AR,,
Hot water reflex epilepsy,热反射性癫痫,613339;613340,Hot water reflex epilepsy,,,"异质性的,常染色体显性遗传,IP,困倦,肌张力减退,青少年性发病,高热惊厥",AD,IP,
Reading seizures,,132300,,,,"常染色体显性遗传,青少年性发病，癫痫发作,脑电图异常",AD,,
Friedreich ataxia,Friedreich共济失调,229300;601992,,Friedreich Ataxia,Friedreich共济失调,步态共济失调，构音障碍，肢体共济失调，步态失衡，巴彬斯基征，肌萎缩，本体感觉障碍，眼球震颤，视神经萎缩，辨距不良，肌无力，心肌病，足部异常，高弓足，意向性震颤，下肢反射消失，跌倒，脊柱侧弯，膀胱括约肌功能障碍，感觉轴索神经病，精细动作协调差，颈脊髓萎缩，受损的视觉增强的前庭眼反射,AR,,
Beta-thalassemia,β-地中海贫血,613985;603902,Beta-thalassemia,,,低促性腺素性功能减退症，易激惹，骨骼系统异常，颅骨异常，苍白圈，肌无力，脾肿大，贫血，小细胞性贫血，呼吸功能不全，肝脏肿大，骨密度降低，体温调节异常，铁紊乱，血红蛋白异常,AR,,
Alpha-thalassemia,α-地中海贫血,604131,Alpha-thalassemia,,,小细胞性贫血，血红蛋白异常,AR,,
Cystic fibrosis,囊性纤维化变性,219700,Cystic fibrosis,,,胰腺外分泌功能不全，吸收不良，反复呼吸道感染，肺纤维化，胆汁性肝硬化，免疫缺陷，低丙球蛋白血症,AR,,
Emery-Dreifuss muscular dystrophy,贝克尔肌肉萎缩症,614302;616516;181350;300696;310300;612998;612999,Emery-Dreifuss muscular dystrophy,,,上睑下垂，漏斗胸，斯普伦格尔异常，步态不稳，腱反射减低，关节僵硬，肥厚性心肌病，房室传导阻滞，肌强直，肌病，血清肌酸磷酸激酶升高，脊柱前凹过度，肌电图异常，翼状肩胛，认知障碍,"AD,AR，XL",,
MELAS,线粒体脑肌病伴乳酸血症及卒中样发作,540000,,"mitochondrial myopathy, encephalopathy, lactic acidosis, and stroke-like episodes",线粒体脑肌病伴乳酸血症及卒中样发作,耳廓异常，感音神经性耳聋，上睑下垂，抑郁，幻觉，焦虑，神经传导速度降低，视野缺损，癫痫发作，共济失调，肌无力，胰腺炎，恶心和呕吐，腹痛，厌食症，全面性强直-阵挛发作，偏头痛，呼吸功能不全，大脑皮层萎缩，血清乳酸增高，阵挛，记忆障碍，发育倒退，脑钙化，脑缺血，乳酸酸中毒，粗糙的红色肌纤维，血清肌酸磷酸激酶升高，线粒体代谢异常，肌电图异常，线粒体肌病，身材矮小，恶病质，意识减弱/意识错乱，2型糖尿病，注意力缺陷多动障碍，小脑发育缺陷/发育不全，偏盲，疲倦，认知障碍，成年早期死亡,MI,,
Facioscapulohumeral dystrophy,面肩肱型营养不良症,158900;158901;600416,Facioscapulohumeral dystrophy,,,面具般面容，感音神经性耳聋，睫毛异常，肌萎缩，血清肌酸磷酸激酶升高，脊柱前凹过度，肌电图异常，视网膜脉管系统的异常，眼睑水肿,AD,,
Kearns-Sayre syndrome,Kearns-Sayre综合征,530000,Kearns-Sayre syndrome,,,听力障碍，进行性眼外肌麻痹，垂体前叶功能减退症，共济失调，肌张力减退，腱反射减低，三度房室传导阻滞，粗糙的红色肌纤维，肌萎缩，肌电图异常，椎间隙渐进性变窄，视网膜色素沉着异常,MI,,
MERRF,破碎红纤维肌阵挛性癫痫症,545000,Myoclonic Epilepsy Associated With Ragged Red Fibers,,,共济失调，痉挛状态，线粒体遗传，感音神经性耳聋，肌无力，肌病，血清丙酮酸增高，粗糙的红色肌纤维，血清乳酸增高，全身性肌阵挛发作，肌阵挛，癫痫发作，,MI,,
Central core disease,中央轴空病,117000,Central core disease,,,非进行性，脊柱侧弯，广泛肌无力，运动延迟，新生儿张力减退，常染色体显性遗传，表型多样性，1型肌纤维优势，肌萎缩，扁平足，屈曲挛缩，婴幼儿期发病，先天性髋关节脱位,AR,,
Neurologic Waardenburg-Shah syndrome,神经性Waardenburg-Shah 综合征,609136,Neurologic Waardenburg-Shah syndrome,,,性腺机能低下，感音神经性耳聋，鼻梁突出，鼻翼发育不全，宽鼻梁，内眦距过宽，眉毛异常，流泪减少，眼球震颤，皮肤色素减退斑，虹膜异色，智力残疾，癫痫发作，共济失调，肌张力减退，痉挛状态，全面发育迟缓，便秘，腹痛，少年白，无神经节性巨结肠，肠梗阻，小结肠，毛发色素减退，锥体功能障碍，周围神经病,AD,,
Paramyotonia Congenita,先天性副肌强直症,168300,,Paramyotonia Congenita,先天性副肌强直症,表型多样性，常染色体显性遗传，矛盾性肌强直，肌肥大，打击乐肌强直，手柄肌强直，婴幼儿期发病，肌无力，新生儿张力减退，吸气性喘鸣，肌痛，肌肉僵硬，喂养困难,AD,,
Steinert myotonic dystrophy,Steinert肌强直性营养不良,160900,Steinert myotonic dystrophy,,,睾丸萎缩，面具般面容，白内障，内分泌系统异常，肌张力减退，肌张力增高，呼吸窘迫，肌强直，心脏和大血管畸形，肌萎缩，肌电图异常，进行性智力残疾，面部神经麻痹，重度智力残疾，毛发数量异常，一度房室传导阻滞,AD,,
"X-linked intellectual disability, Najm type",X-连锁智力障碍，Najm型,300749,"X-linked intellectual disability, Najm type",,,小头畸形，眼距过宽，宽前额，长人中，小下颌畸形，巨耳畸形，感音神经性耳聋，宽鼻梁，斜视，视觉障碍，白内障，近视，眼球震颤，癫痫发作，步态不稳，小脑发育不全，大脑皮层萎缩，中度智力残疾，严重的全面性发育迟缓,XL,,
Thomsen and Becker disease,汤姆森和贝克尔病,160800;255700,Thomsen and Becker disease,,,肌强直，肌电图异常,AR,,
"X-linked dominant chondrodysplasia, Chassaing-Lacombe type",X连锁显性软骨发育异常，Chassaing-Lacombe型,300863,"X-linked dominant chondrodysplasia, Chassaing-Lacombe type",,,脑积水，低位耳，鼻嵴凹陷，小眼畸形，肋骨变薄，扁平椎骨，轻度智力残疾，胎儿宫内发育迟缓，婴幼儿死亡，短脚，前额突出，髂骨翼发育低下，短鼻，短掌，身材矮小，干骺端软骨发育异常，掌骨干骺端翘弯，跟骨异常，肢体短缩,XD,,
X-linked intellectual disability-craniofacioskeletal syndrome,X连锁智力障碍颅颈部骨骼综合征,300712,X-linked intellectual disability-craniofacioskeletal syndrome,,,小脑发育不全，短掌，腭裂，全面发育迟缓，三角脸，薄上唇，短指畸形综合征，尿道下裂，X连锁隐性遗传，肾积水，桶状胸，室间隔缺损，动脉导管未闭，小下颌畸形，胎儿宫内发育迟缓，X连锁显性遗传，小头畸形，短脚，扁平足，鼻后孔闭锁，小手指屈指畸形，髂骨翼狭窄，大囟门，额窦发育不全，乳头间距宽，小耳畸形，低钙血症，房间隔缺陷，胆囊缺失，下斜睑裂，后旋耳，人中短，眼睑裂狭小，短睑裂，盾牌胸，小手，气管狭窄，主动脉弓断离，隐睾，身材矮小,,,
"X-linked intellectual disability, Raymond type",X连锁型精神发育迟滞，雷蒙德型,300799,"X-linked intellectual disability, Raymond type",,,巨大睾丸，高腭，大头畸形，脸狭窄，人中短，上颌骨发育不全，小下颌畸形，额头高，鼻梁突出，行为异常，漏斗胸，细长指(趾)，智力残疾，肌张力减退，不成比例的高挑身材，声音异常，鼻音很重，房间隔缺陷，神经语言障碍，脊柱侧弯，关节过度屈曲，注意力缺陷多动障碍，胼胝体发育缺陷/发育不全,XR,,
"X-linked intellectual disability, Nascimento type",X-连锁智力障碍，Nascimento型,300860,"X-linked intellectual disability, Nascimento type",,,后发际低，面中部后缩，宽脸，短脚，薄嘴唇，干性皮肤，扁平足，嘴部异常，脚拇趾变宽，大头畸形，宽嘴，一字眉，X连锁隐性遗传，点滴状色素减退，短颈，眶上脊突出，宽颈，甲营养不良，杏仁状睑裂，毛发异常旋涡式生长，鼻梁凹陷，平颧骨，睑裂上斜，智力残疾，少言寡语，模仿性言语，小阴茎，甲发育不良，攻击性行为，女性多毛症，皮肤局部异常，癫痫发作，眼睛深陷，MRI脑白质低信号，乳头间距宽，体重增加,XL,,
"X-linked intellectual disability, Kroes type",X连锁智力残疾，克罗斯型,300864,"X-linked intellectual disability, Kroes type",,,脑积水，胼胝体发育不全，脉络膜视网膜缺损，呼吸暂停，全面发育迟缓，低位耳，大头畸形，中枢性肌张力低下，肌张力减退，后旋耳，X连锁隐性遗传，肋骨异常，后颅窝异常，Meckel憩室，癫痫发作，小脑蚓部发育缺陷/发育不全，侧脑室扩张,,,
Fabry disease,Fabry病,301500,Fabry disease,,,肾功能不全，肾小管异常，蛋白尿，肾病综合征，肾病，厚下唇，面容粗糙，听力障碍，白内障，结膜毛细血管扩张，视神经萎缩，行为异常，血尿，青春期延迟，角化过度，少汗症，血管角皮瘤，角膜营养不良，关节炎，皮下结节，充血性心力衰竭，主动脉瓣异常，二尖瓣返流，房室传导阻滞，贫血，恶心和呕吐，吸收不良，腹痛，厌食症，肺气肿，短暂性脑缺血发作，关节疼痛，高脂血症，脂代谢异常，肌痛，身材矮小，角膜混浊，束支传导阻滞，疲倦，认知障碍，粘膜毛细血管扩张症，皮肤毛细血管扩张症,XR,,
X-linked intellectual disability-spastic quadriparesis syndrome,X-连锁智力障碍痉挛性四肢瘫痪综合征,309640,X-linked intellectual disability-spastic quadriparesis syndrome,,,智力残疾，缓慢进展性痉挛性四肢轻瘫,,,
Hyperekplexia-epilepsy syndrome,惊跳病-癫痫综合征,300607,Hyperekplexia-epilepsy syndrome,,,X连锁隐性遗传，重度智力残疾，癫痫性脑病，肌张力增高，先天发病，癫痫发作，进行性智力残疾，过度惊跳反射,XR,,
Rett syndrome,Rett综合征,312750,Rett syndrome,,,牙齿异常，小头畸形，行为异常，抑郁，孤独症，刻板行为，颅骨异常，掌骨异常，癫痫发作，共济失调，痉挛状态，肌张力障碍，呼吸功能不全，大脑皮层萎缩，失用，脑电图异常，语言障碍，脊柱侧弯，身材矮小，重度智力残疾，运动异常,XL,,
Angelman syndrome,Angelman综合征,105830,Angelman syndrome,,,宽嘴，巨舌，短头畸形，小头畸形，脸部异常，下颌前突畸形，上颌骨发育不全，蓝色虹膜，牙间隙增宽，行为异常，癫痫发作，共济失调，肌张力减退，失语，反射亢进，大脑皮层萎缩，神经语言障碍，脑电图异常，进行性智力残疾，重度智力残疾,AD,,
